capcode,discipline,locatie/divisie,beschrijving
1200012,BRW,Regionaal,Algemeen Commandant Brandweerzorg ROT Oost
1200019,BRW,Regionaal,Adviseur Industriele Veiligheid
1200025,BRW,Regionaal,Liaison Defensie
1200030,BRW,Regionaal,Directeur VR - bij Grip 3 en 4
1200031,BRW,Regionaal,OvD Communicatie/Piket Persvoorlichting
1200033,BRW,Regionaal,Communicatie Adviseur CoPI
1200034,BRW,Regionaal,Regionaal Adviseur Natuurbrand
1200035,BRW,Regionaal,Commandant van Dienst
1200036,BRW,Regionaal,HOvD West
1200037,BRW,Regionaal,HOvD Oost
1200038,BRW,Regionaal,Adviseur Gevaarlijke Stoffen-1
1200039,BRW,Regionaal,OvD Baronie Noord
1200041,BRW,Regionaal,OvD Baronie Zuid
1200042,BRW,Regionaal,Algemeen Commandant Brandweerzorg ROT West
1200043,BRW,Regionaal,OvD Markiezaten Oost
1200044,BRW,Regionaal,OvD Hart van Brabant Oost
1200045,BRW,Regionaal,OvD Markiezaten West
1200046,BRW,Regionaal,Informatiecoordinator GBT/RBT
1200049,BRW,Regionaal,OvD Hart van Brabant West
1200051,BRW,Regionaal,Adviseur Gevaarlijke Stoffen-2
1200055,BRW,Almkerk,Verkenningseenheid
1200058,BRW,Rijsbergen,Verkenningseenheid IBGS
1200062,BRW,Alphen,Verkenningseenheid IBGS
1200064,BRW,Dongen,Verkenningseenheid
1200069,BRW,Oudenbosch,Verkenningseenheid
1200070,BRW,Hilvarenbeek,Verkenningseenheid
1200071,BRW,Lage Zwaluwe,Verkenningseenheid IBGS
1200074,BRW,Zevenbergen,Verkenningseenheid
1200078,BRW,Halsteren,Verkenningseenheid
1200079,BRW,Hoogerheide,Verkenningseenheid IBGS
1200081,BRW,Tilburg-Centrum,Afdeling Techniek Verbindingen
1200082,BRW,Regionaal,Secretaris ROT
1200083,BRW,Regionaal,STH Zuid (Tilburg) (Staf)
1200084,BRW,Regionaal,STH Zuid (Tilburg) (Leiding)
1200085,BRW,Regionaal,STH Zuid (Tilburg) (Team)
1200086,BRW,Oosterhout,Chauffeurs CO-MU
1200089,BRW,Regionaal,Informatiemanager CoPI Oost (Infocode)
1200091,BRW,Regionaal,Informatiemanager Oost CoPI Infocode
1200092,BRW,Regionaal,Informatiemanager CoPI West) (Alarmcode
1200094,BRW,Regionaal,Informatiemanager ROT (Alarmcode)
1200095,BRW,Regionaal,Informatiemanager ROT
1200097,BRW,Regionaal,Informatiecoordinator ROT West (Alarmcode)
1200101,BRW,Regionaal,OvD-Bevolkingszorg Altena/Dongemond
1200102,BRW,Regionaal,AOV Altena
1200104,BRW,Wijk en Aalburg,Ondersteuners GW
1200118,BRW,Genderen,Team Alarm
1200119,BRW,Genderen,Oppervlaktewater Redteam
1200127,BRW,Wijk en Aalburg,Bezetting HA
1200128,BRW,Wijk en Aalburg,Team Alarm
1200129,BRW,Wijk en Aalburg,Contactpersoon
1200133,BRW,Regionaal,AOOV Baarle-Nassau / Alphen-Chaam / Gilze-Rijen
1200134,BRW,Regionaal,OvD-Bz Baarle-Nassau / Alphen-Chaam / Gilze-Rijen
1200135,BRW,Chaam,Kazernecentrale
1200141,BRW,Alphen,Contactpersoon
1200148,BRW,Alphen,Team Alarm
1200158,BRW,Chaam,Team Alarm
1200161,BRW,Baarle-Nassau,Contactpersoon
1200162,BRW,Regionaal,AOV Gemeente Baarle-Nassau
1200168,BRW,Baarle,First Responders
1200175,BRW,Chaam,Bezetting GM + BPA
1200176,BRW,Baarle,Bezetting TK-G + WTA
1200178,BRW,Baarle,Team Alarm
