capcode,discipline,locatie/divisie,beschrijving
1503002,BRW,Regionaal,Regionaal Operationeel Team (ROT)
1503003,BRW,Regionaal,Commandant van Dienst
1503004,BRW,Regionaal,Hoofd Ondersteuning
1503005,BRW,Regionaal,HOvD West
1503006,BRW,Regionaal,HOvD Oost
1503008,BRW,Regionaal,Leider CoPI West
1503009,BRW,Regionaal,Leider CoPI Oost
1503012,BRW,Regionaal,OvD Duin- & Bollenstreek
1503013,BRW,Regionaal,OVD Leiden e.o.
1503014,BRW,Regionaal,OVD Rijnstreek
1503015,BRW,Regionaal,OVD Gouda e.o.
1503016,BRW,Regionaal,OVD Krimpenerwaard
1503021,BRW,Regionaal,Brandweermotor Den Haag
1503026,BRW,Regionaal,Centralisten
1503030,BRW,Alphen a/d Rijn - Beroeps,Duikerploeg
1503031,BRW,Alphen a/d Rijn - Vrijwilligers,Postalarm
1503032,BRW,Alphen a/d Rijn - Beroeps,Vrije Bevelvoerders
1503033,BRW,Alphen a/d Rijn - Beroeps,Chauffeurs
1503038,BRW,Alphen a/d Rijn - Beroeps,24 uursdienst
1503040,BRW,Alphen a/d Rijn - Vrijwilligers,Chauffeurs
1503041,BRW,Alphen a/d Rijn - Beroeps,Vrije Chauffeurs
1503042,BRW,Alphen a/d Rijn - Beroeps,Kazernealarm
1503043,BRW,Alphen a/d Rijn - Vrijwilligers,Bezetting 2e TS
1503046,BRW,Alphen a/d Rijn - Beroeps,Ploegchef/Operationeel Bevelvoerder
1503061,BRW,Aarlanderveen,Postalarm
1503062,BRW,Aarlanderveen,Ploegchef/Operationeel Bevelvoerder
1503071,BRW,Zwammerdam,Postalarm
1503072,BRW,Zwammerdam,Ploegchef/Operationeel Bevelvoerder
1503080,BRW,Bergambacht,Postalarm
1503083,BRW,Bergambacht,Chauffeurs AL Ploeg 1
1503084,BRW,Bergambacht,Chauffeurs AL Ploeg 2
1503085,BRW,Bergambacht,Kazernetechniek
1503086,BRW,Krimpen aan de Lek,Kazernetechniek
1503089,BRW,Bergambacht,Ploegchef/Operationeel Bevelvoerder
1503105,BRW,Bodegraven,Postalarm
1503110,BRW,Bodegraven,Chauffeurs WT Ploeg 1
1503111,BRW,Bodegraven,Chauffeurs WT Ploeg 2
1503119,BRW,Bodegraven,Piketploeg
1503121,BRW,Nieuwerbrug,Postalarm
1503128,BRW,Nieuwerbrug,Ploegchef/Operationeel Bevelvoerder
1503129,BRW,Bodegraven,Ploegchef/Operationeel Bevelvoerder
1503130,BRW,Boskoop,Ploegchef/Operationeel Bevelvoerder
1503131,BRW,Boskoop,Ploeg 1
1503132,BRW,Boskoop,Ploeg 2
1503133,BRW,Boskoop,Bezetting KW Ploeg 1
1503134,BRW,Boskoop,Bezetting KW Ploeg 2
1503135,BRW,Boskoop,Postalarm
1503136,BRW,Boskoop,First-Responders ploeg
1503149,BRW,Gouda - Beroeps,Herbezetting Vrije Duikers
1503150,BRW,Gouda - Beroeps,Duikploeg
1503151,BRW,Gouda - Beroeps,Postalarm
1503152,BRW,Gouda - Beroeps,Kazernealarm
1503153,BRW,Gouda - Beroeps,Ploegchef/Operationeel Bevelvoerder
1503154,BRW,Gouda - Beroeps,Chauffeurs
1503155,BRW,Gouda - Beroeps,Vrije Chauffeurs
1503160,BRW,Gouda - Beroeps,24-uursploeg
1503165,BRW,Gouda - Beroeps,Bevelvoerders
1503166,BRW,Gouda - Beroeps,Ondersteuning CoPI
