capcode,discipline,locatie/divisie,beschrijving
1500000,BRW,Regionaal,Management BRW
1500004,BRW,Regionaal,Strandcoördinator
1500007,BRW,Regionaal,Monitorcode STH
1500012,BRW,Regionaal,Quick Response Team
1500013,BRW,Regionaal,Nationaal Crisiscentrum
1500014,BRW,Regionaal,GRIP Infocode
1500015,BRW,Regionaal,GRIP Monitorcode
1500020,BRW,Regionaal,Hoofdofficier van Dienst 2
1500021,BRW,Regionaal,Hoofdofficier van Dienst 1
1500022,BRW,Regionaal,Commandant van Dienst
1500032,BRW,GMK,Piket Calamiteitencoordinator
1500040,BRW,Regionaal,Monteur van Dienst
1500041,BRW,Regionaal,Team Collegiale Ondersteuning
1500046,BRW,GMK,Calamiteitencoördinator
1500049,BRW,Regionaal,Piket ICT
1500050,BRW,Regionaal,OvD-1
1500051,BRW,Regionaal,OvD Maatregelen
1500052,BRW,Regionaal,OvD-2
1500053,BRW,Regionaal,OvD-5
1500054,BRW,Regionaal,OvD-3
1500055,BRW,Regionaal,OvD-4
1500060,BRW,Regionaal,Informatiemanager CoPI
1500061,BRW,Regionaal,Informatiemanager ROT
1500063,BRW,Regionaal,Leider ROT/Operationeel Leider
1500064,BRW,Regionaal,GEO informatiemanager CoPI
1500065,BRW,BRW Haaglanden/Hollands Midden,Adviseur Gevaarlijke Stoffen ROT
1500066,BRW,Regionaal,Informatiecoördinator ROT
1500071,BRW,Regionaal,Woordvoerder
1500075,BRW,Regionaal,Persinformatie Brandweer Den Haag
1500080,BRW,BRW Haaglanden/Hollands Midden,Adviseur Gevaarlijke Stoffen
1500081,BRW,Regionaal,Hoofd Ondersteuning
1500083,BRW,Regionaal,Preventie Inspecteur van Dienst
1500084,BRW,Regionaal,Coördinator Verkenningseenheden
1500085,BRW,Regionaal,Team Brandonderzoek
1500087,BRW,BRW Haaglanden (Rijswijk),Team Digitale Verkenning
1500090,BRW,BRW Haaglanden (Rijswijk),Brand Als Specialisme team (BAS) (infocode)
1500091,BRW,BRW Haaglanden (Rijswijk),Brand Als Specialisme team (BAS) Inzetcode)
1500121,BRW,Regionaal,Duinwachter Dunea
1500122,GMK,Den Haag,Liaison DCMR Rotterdam
1500123,BRW,Regionaal,Boswachter Staatsbosbeheer Hollands Duin
1500124,BRW,Regionaal,Amsterdamse Waterleidingduinen (Boswachter)
1500126,BRW,Regionaal,Zuid Hollands Landschap (Boswachter)
1500130,BRW,Regionaal,Bouw- en Woningtoezicht Gemeente Westland
1500140,BRW,Den Haag-Archipel,Kazernealarm + 24 uursdienst
1500141,BRW,Leidschendam-Voorburg,Kazernealarm + 24 uursdienst
1500142,BRW,Den Haag-Centrum,Kazernealarm + 24 uursdienst
1500143,BRW,De Lier,Kazernetechniek
1500144,BRW,Delft,Kazernealarm + 24 uursdienst
1500145,BRW,Den Hoorn,Kazernetechniek
1500147,BRW,Honselersdijk,Kazernetechniek
1500148,BRW,Den Haag-Laak,Kazernealarm + 24 uursdienst
1500149,BRW,Den Haag-Leidschenveen,Kazernealarm + 24 uursdienst
1500150,BRW,Den Haag-Loosduinen,Kazernealarm + 24 uursdienst
1500151,BRW,Maasdijk,Kazernetechniek
1500152,BRW,Maasland,Kazernetechniek
1500153,BRW,Monster,Kazernetechniek
1500154,BRW,Naaldwijk,Kazernetechniek
1500155,BRW,Zoetermeer-Oosterheem,Kazernealarm + 24 uursdienst
1500156,BRW,Pijnacker,Kazernealarm + 24 uursdienst
1500157,BRW,Zoetermeer-Stadshart,Kazernealarm + 24 uursdienst
1500158,BRW,Scheveningen,Kazernealarm + 24 uursdienst
1500159,BRW,Schipluiden,Kazernetechniek
1500160,BRW,'s-Gravenzande,Kazernetechniek
1500161,BRW,Rijswijk,Kazernealarm + 24 uursdienst
1500162,BRW,Wassenaar,Kazernealarm + 24 uursdienst
1500163,BRW,Waterdingen,Kazernetechniek
1500171,BRW,Den Hoorn,Postalarm
1500180,BRW,Den Hoorn,Ploegchef
1500181,BRW,Schipluiden,Ploegchef
1500182,BRW,Maasland,Ploegchef
1500183,BRW,De Lier,Ploegchef
1500184,BRW,'s-Gravenzande,Ploegchef
1500185,BRW,Honselersdijk,Ploegchef
1500186,BRW,Maasdijk,Ploegchef
1500187,BRW,Naaldwijk,Ploegchef
1500188,BRW,Monster,Ploegchef
1500189,BRW,Wateringen,Ploegchef
1500191,BRW,Den Haag-Centrum,Duikploegleider
1500192,BRW,Den Haag-Centrum,Duikploegleider WO 9610
1500193,BRW,Delft,Duikploegleider
1500195,BRW,Honselersdijk,Bezetting HA
1500196,BRW,BRW,Infocode Motor Ondersteuning Brandweer
1500197,BRW,Den Haag Centrum,Brandweer Motor 9660
1500198,BRW,Den Haag Centrum,Brandweer Motor 9661
1500199,BRW,Den Haag Centrum,Brandweer Motor 9662
1500201,BRW,Den Haag Laak,Reserve DA 15-9601
1500210,BRW,Loosduinen,Adembeschermingsvoertuig 7782
1500232,BRW,De Lier,Postalarm
1500235,BRW,De Lier,Chauffeurs/Kraanbedieners HV-KR
1500236,BRW,De Lier,Chauffeurs HA
1500252,BRW,'s-Gravenzande,Postalarm
1500254,BRW,'s-Gravenzande,Ploeg A
1500255,BRW,'s-Gravenzande,Ploeg B
1500258,BRW,'s-Gravenzande,Verkenningseenheid IBGS
1500280,BRW,Honselersdijk,FloraHolland - groep
1500292,BRW,Maasdijk,Postalarm
1500293,BRW,Maasdijk,Ploegchef
1500294,BRW,Maasdijk,Verkenningseenheid
1500301,BRW,Honselersdijk,Postalarm
1500306,BRW,Schipluiden,Postalarm
1500307,BRW,Maasland,Postalarm
1500312,BRW,Naaldwijk,Postalarm
1500314,BRW,Naaldwijk,Chauffeurs
1500332,BRW,Monster,Postalarm
1500337,BRW,Monster,Bezetting HA
1500352,BRW,Wateringen,Postalarm
1500354,BRW,Wateringen,Logistiek Ploeg A
1500355,BRW,Wateringen,Logistiek Ploeg A
1500358,BRW,Wateringen,Verkenningseenheid
1500401,BRW,Maasdijk,First Responders
1500431,BRW,Wassenaar,Repressieve Kantoor Dienst
1500432,BRW,Wassenaar,Ploeg 1
1500433,BRW,Wassenaar,Ploeg 2
1500434,BRW,Wassenaar,Ploeg 3
1500435,BRW,Wassenaar,Ploeg 4
1500436,BRW,Wassenaar,Ploeg 5
1500438,BRW,Wassenaar,Verkenningseenheid Gevaarlijke Stoffen
1500439,BRW,Wassenaar,Postalarm
1500440,BRW,Wassenaar,Chauffeurs HA
1500441,BRW,Wassenaar,Ploegchef
1500530,BRW,Den Haag,OvD Bevolkingszorg
