capcode,discipline,locatie/divisie,beschrijving
1161151,BRW,Mill,PreCom Telling 1e TS
1161157,BRW,Mill,PreCom Telling HV
1161161,BRW,Mill,PreCom Telling OR
1161201,BRW,Nistelrode,PreCom Telling 1e TS
1161214,BRW,Nistelrode,PreCom Telling Ondersteuners AH
1161215,BRW,Nistelrode,PreCom Telling CO-MU
1161251,BRW,Wanroij,PreCom Telling 1e TS
1161256,BRW,Wanroij,PreCom Telling SBH
1161258,BRW,Wanroij,PreCom Telling HA
1161259,BRW,Wanroij,PreCom Telling GW
1161301,BRW,Oeffelt,PreCom Telling 1e TS
1161314,BRW,Oeffelt,PreCom Telling AH
1161351,BRW,Sint Anthonis,PreCom Telling 1e TS
1161355,BRW,Sint Anthonis,PreCom Telling WT
1161401,BRW,Oss,PreCom Telling 1e TS
1161402,BRW,Oss,PreCom Telling 2e TS
1161404,BRW,Oss,PreCom Telling HW
1161408,BRW,Oss,PreCom Telling HA
1161412,BRW,Oss,PreCom Telling VKE
1161416,BRW,Oss,PreCom Telling ABH
1161451,BRW,Ravenstein,PreCom Telling 1e TS
1161501,BRW,Zeeland,PreCom Telling 1e TS
1161509,BRW,Zeeland,PreCom Telling GW
1161551,BRW,Schaijk,PreCom Telling 1e TS
1161557,BRW,Schaijk,PreCom Telling HV
1161601,BRW,Schijnel,PreCom Telling 1e TS
1161602,BRW,Schijnel,PreCom Telling 2e TS
1161605,BRW,Schijnel,PreCom Telling WT
1161651,BRW,Sint-Michielsgestel,PreCom Telling 1e TS
1161701,BRW,Sint-Oederode,PreCom Telling 1e TS
1161707,BRW,Sint-Oederode,PreCom Telling HV
1161751,BRW,Uden,PreCom Telling 1e TS
1161752,BRW,Uden,PreCom Telling 2e TS
1161754,BRW,Uden,PreCom Telling AL
1161755,BRW,Uden,PreCom Telling WT
1161801,BRW,Veghel,PreCom Telling 1e TS
1161802,BRW,Veghel,PreCom Telling 2e TS
1161804,BRW,Veghel,PreCom Telling HW
1161808,BRW,Veghel,PreCom Telling HA
1161812,BRW,Veghel,PreCom Telling VK-GS
1161851,BRW,Vierlingsbeek,PreCom Telling 1e TS
1161860,BRW,Vierlingsbeek,PreCom Telling OR
1161901,BRW,Erp,PreCom Telling 1e TS
1161915,BRW,Erp,PreCom Telling Verzorgingsploeg
1161951,BRW,Vught,PreCom Telling 1e TS
1161952,BRW,Vught,PreCom Telling 2e TS
1161958,BRW,Vught,PreCom Telling HA
1161965,BRW,Vught,PreCom Telling LIH
1162001,BRW,Vlijmen,PreCom Telling 1e TS
1162007,BRW,Vlijmen,PreCom Telling HV
1162012,BRW,Vlijmen,PreCom Telling VKE
1162051,BRW,Drunen,PreCom Telling 1e TS
1162052,BRW,Drunen,PreCom Telling 2e TS
1162065,BRW,Drunen,PreCom Telling DAT
1162101,BRW,Heusden,PreCom Telling 1e TS
1162110,BRW,Heusden,PreCom Telling OR
1162151,BRW,Cromvoirt,PreCom Telling 1e TS
1170000,BRW,GMK Oost-Brabant,Beheer
1170001,BRW,Regio,Operationeel Leider ROT
1170005,BRW,Regionaal,Adviseur Gevaarlijke Stoffen
1170006,BRW,Regio,OvD-Bevolkingszorg Regio
1170007,BRW,Regio,OvD-Bevolkingszorg Den Bosch
1170008,BRW,Regio,Mediapiket
1170009,BRW,Regio,Communicatieadviseur CoPI
1170010,BRW,Regionaal,Regionaal Militair Operationeel Adviseur
1170011,BRW,Regionaal,OvD Noord
1170012,BRW,Regionaal,OvD Noord (Aflossing)
1170021,BRW,Regionaal,OvD Oost
1170022,BRW,Regionaal,OvD Oost (Aflossing)
1170031,BRW,Regionaal,OvD Zuid
1170032,BRW,Regionaal,OvD Zuid (Aflossing)
1170041,BRW,Regionaal,OvD West
1170042,BRW,Regionaal,OvD West (Aflossing)
1170050,BRW,Regionaal,Adviseur Gevaarlijke Stoffen
1170051,BRW,Regionaal,Coordinator Verkenningseenheden
1170052,BRW,Regionaal,HOvD (Aflossing)
1170061,BRW,Regionaal,HOvD Oost (Rol: Taakcommandant)
1170062,BRW,Regionaal,HOvD West (Rol: Taakcommandant)
1170071,BRW,Regionaal,HOvD/Leider CoPI
1170072,BRW,Regionaal,Algemeen Commandant Brandweerzorg
1170073,BRW,Regionaal,HOvD/ACB Hoofd Bron- en Effectbestrijding
1170081,BRW,Regio,Informatiemanager-CoPI/Operationele Informatie Voorziening (Piket)
1170082,BRW,Regionaal,Tean Collegiale Ondersteuning
1170083,BRW,Regionaal,Team Brandonderzoek
1170084,BRW,GMK Oost-Brabant,Calamiteiten Coördinator
1170085,BRW,GMK Oost-Brabant,Initieel Respons Team
1170090,BRW,Regionaal,Teamleider Handcrew
1170094,BRW,Regionaal,Calamiteitenteam A
1170095,BRW,Regionaal,Calamiteitenteam B
1170097,BRW,Regionaal,Infocode/Proefalarm Regiopersoneel
1170200,BRW,Berghem,Bevelvoerder van Dienst
1170201,BRW,Berghem,Postalarm
1170205,BRW,Berghem,Postalarm
1170247,BRW,Berghem,Infocode/Proefalarm
1170248,BRW,Berghem,Noodalarmering
1170249,BRW,Berghem,Monitorcode
1170250,BRW,Berlicum,Bevelvoerder van Dienst
1170251,BRW,Berlicum,Ploeg A
1170252,BRW,Berlicum,Ploeg B
1170255,BRW,Berlicum,Postalarm
1170275,BRW,Berlicum,Postalarm Veetakelploeg
1170297,BRW,Berlicum,Infocode/Proefalarm
1170298,BRW,Berlicum,Noodalarmering
1170299,BRW,Berlicum,Monitorcode
1170300,BRW,Boekel,Bevelvoerder van Dienst
1170305,BRW,Boekel,Postalarm
1170325,BRW,Boekel,Postalarm Veetakelploeg
1170347,BRW,Boekel,Infocode/Proefalarm
1170348,BRW,Boekel,Noodalarmering
1170349,BRW,Boekel,Monitorcode
1170350,BRW,Boxmeer,Bevelvoerder van Dienst
1170351,BRW,Boxmeer,Ploeg A
1170352,BRW,Boxmeer,Ploeg B
1170355,BRW,Boxmeer,Postalarm
1170371,BRW,Boxmeer,Bezetting HV Ploeg A
1170372,BRW,Boxmeer,Bezetting HV Ploeg B
1170375,BRW,Boxmeer,Postalarm HV
1170397,BRW,Boxmeer,Infocode/Proefalarm
1170398,BRW,Boxmeer,Noodalarmering
1170399,BRW,Boxmeer,Monitorcode
1170400,BRW,Boxtel,Bevelvoerder van Dienst
1170401,BRW,Boxtel,Ploeg A
1170402,BRW,Boxtel,Ploeg B
1170405,BRW,Boxtel,Postalarm
1170441,BRW,Boxtel,Verkenningseenheid IBGS
1170447,BRW,Boxtel,Infocode/Proefalarm
1170448,BRW,Boxtel,Noodalarmering
1170449,BRW,Boxtel,Monitorcode
1170450,BRW,Cuijk,Bevelvoerder van Dienst
1170451,BRW,Cuijk,Ploeg A
1170452,BRW,Cuijk,Ploeg B
1170453,BRW,Cuijk,Ploeg C
1170455,BRW,Cuijk,Postalarm
1170471,BRW,Cuijk,Bezetting HW Ploeg A
1170472,BRW,Cuijk,Bezetting HW Ploeg B
1170473,BRW,Cuijk,Bezetting HW Ploeg C
1170475,BRW,Cuijk,Postalarm HW
1170485,BRW,Cuijk,Postalarm ORT
1170491,BRW,Cuijk,Verkenningseenheid
1170497,BRW,Cuijk,Infocode/Proefalarm
1170498,BRW,Cuijk,Noodalarmering
1170499,BRW,Cuijk,Monitorcode
1170500,BRW,Geffen,Bevelvoerder van Dienst
1170501,BRW,Geffen,Ploeg A
1170502,BRW,Geffen,Ploeg B
1170505,BRW,Geffen,Postalarm
1170521,BRW,Geffen,Bezetting HV Ploeg A
1170522,BRW,Geffen,Bezetting HV Ploeg A
1170525,BRW,Geffen,Postalarm HV
1170547,BRW,Geffen,Infocode/Proefalarm
1170548,BRW,Geffen,Noodalarmering
1170549,BRW,Geffen,Monitorcode
1170550,BRW,Grave,Bevelvoerder van Dienst
1170551,BRW,Grave,Ploeg A
1170552,BRW,Grave,Ploeg B
1170555,BRW,Grave,Postalarm
1170581,BRW,Grave,Bezetting BRV Ploeg A
1170582,BRW,Grave,Bezetting BRV Ploeg B
1170585,BRW,Grave,Postalarm BRV
1170591,BRW,Grave,Verkenningseenheid
1170597,BRW,Grave,Infocode/Proefalarm
1170598,BRW,Grave,Noodalarmering
1170599,BRW,Grave,Monitorcode
1170650,BRW,Haps,Bevelvoerder van Dienst
1170655,BRW,Haps,Postalarm
1170697,BRW,Haps,Infocode/Proefalarm
1170700,BRW,Heesch,Bevelvoerder van Dienst
1170701,BRW,Heesch,Ploeg A-B
1170702,BRW,Heesch,Ploeg B-C
1170703,BRW,Heesch,Ploeg C-A
1170705,BRW,Heesch,Postalarm
1170721,BRW,Heesch,Bezetting WT Ploeg A
1170722,BRW,Heesch,Bezetting WT Ploeg B
1170723,BRW,Heesch,Bezetting WT Ploeg C
1170725,BRW,Heesch,Postalarm WT
1170747,BRW,Heesch,Infocode/Proefalarm
1170748,BRW,Heesch,Noodalarmering
1170749,BRW,Heesch,Monitorcode
1170750,BRW,Heeswijk-Dinther,Bevelvoerder van Dienst
1170755,BRW,Heeswijk-Dinther,Postalarm
1170791,BRW,Heeswijk-Dinther,Verkenningseenheid IBGS
1170797,BRW,Heeswijk-Dinther,Infocode/Proefalarm
1170798,BRW,Heeswijk-Dinther,Noodalarmering
1170799,BRW,Heeswijk-Dinther,Monitorcode
1170800,BRW,Helvoirt,Bevelvoerder van Dienst
1170805,BRW,Helvoirt,Postalarm
1170821,BRW,Helvoirt,Bezetting WT Ploeg A
1170822,BRW,Helvoirt,Bezetting WT Ploeg B
1170823,BRW,Helvoirt,Bezetting WT Ploeg C
1170825,BRW,Helvoirt,Postalarm WT
1170830,BRW,Helvoirt,Koppelcode PreCom pagers
1170847,BRW,Helvoirt,Infocode/Proefalarm
1170848,BRW,Helvoirt,Noodalarmering
1170849,BRW,Helvoirt,Monitorcode
