capcode,discipline,locatie/divisie,beschrijving
0106300,BRW,MKB Noord Holland,Interregionale Alarmering door MKB Noord-Nederland
0106305,BRW,MKB Noord Holland,Monitorcode WO 12-2410
0106310,BRW,MKB Noord Holland,Monitorcode WO 12-3010
0106315,BRW,MKB Noord Holland,Monitor WO 12-4310
0106320,BRW,MKB Noord Holland,Infocode MKB Amsterdam
0106335,BRW,MKB Noord Holland,Infocode MKB Den Haag
0106490,BRW,Regionaal,TCO Coordinator
0106505,BRW,Regionaal,Commandant van Dienst
0106510,BRW,MKB Noord Holland,Senior Centralist
0106515,BRW,Regionaal,HOvD
0106520,BRW,Regionaal,OvD Zuid
0106525,BRW,Regionaal,OvD Midden
0106530,BRW,Regionaal,OvD Noord
0106535,BRW,Amsterdam,AGS Amsterdam-Amstelland
0106542,BRW,Regionaal,Coordinator Verkenningseenheden IBGS
0106545,BRW,Regionaal,Piket Operationeel Leider
0106550,BRW,Regionaal,Leider CoPI
0106555,BRW,Regionaal,Piket Algemeen Commandant Brandweerzorg
0106570,BRW,Regionaal,Piket Geo Informatie Medewerker
0106585,BRW,Regionaal,Team Brandonderzoek
0106588,BRW,Regionaal,RTVNH rampenzenderaansturing
0106601,KNRM,Reddingstation IJmuiden,Bemanning Reddingboot Nh1816
0106611,KNRM,Reddingstation Zandvoort,Bemanning Reddingboot Annie Poulisse
0106631,KNRM,Reddingstation Wijk aan Zee,Bemanning Reddingboot Donateur
0106681,GMK,GMK Kennemerland,Monitorcode KNRM
0106686,RB,Reddingsbrigade Zandvoort,Coördinator
0106699,RB,KNRM Kennemerland,Proefalarm
0106701,RB,Reddingsbrigade IJmuiden,Alarmploeg
0106709,RB,Reddingsbrigade IJmuiden,Lichtkrant
0106711,RB,Reddingsbrigade Zandvoort,Alarmploeg
0106721,RB,Reddingsbrigade Bloemendaal,Strandploeg
0106731,RB,Reddingsbrigade Wijk aan Zee,Strandploeg
0106741,RB,Reddingsbrigade Heemskerk,Strandploeg
0106781,RB,Landelijk Bureau Reddingsbrigade Nederland IJmuiden,Lichtkrant
0106799,RB,Regionale Voorziening Reddingsbrigades,Proefalarm/Infocode
0106900,BRW,Haarlem-West,Postalarm Logistiek
0106910,BRW,Haarlem-West,Functionaris Logistiek
0106974,BRW,Haarlem-West,Medewerkers Logistiek
0106999,OCB,Kennemerland,Proefalarm/Infocode
0107010,BRW,Haarlem,Bevelvoerder van dienst
0107011,BRW,Haarlem-West,Bezetting TS/WO
0107081,BRW,Haarlem-West,Lichtkrant
0107084,BRW,Haarlem-West,Kazernetechniek
0107086,BRW,Haarlem-West,Intern alarm
0107087,BRW,Haarlem-West,Intern Alarm Duikploeg
0107110,BRW,Haarlem-Oost,Bevelvoerder van Dienst
0107111,BRW,Haarlem-Oost,Bezetting TS
0107118,BRW,Haarlem-Oost,Bezetting HV-KR/WT
0107119,BRW,Haarlem-Oost,Bezetting AL
0107181,BRW,Haarlem-Oost,Lichtkrant
0107186,BRW,Haarlem-Oost,Intern Alarm
0107210,BRW,Velsen-Zuid,Bevelvoerder van Dienst
0107211,BRW,Velsen-Zuid,24-uursdienst
0107281,BRW,Velsen-Zuid,Lichtkrant
0107286,BRW,Velsen-Zuid,Intern Alarm
0107300,BRW,Zandvoort Centrum/Noord,Postalarm
0107302,BRW,Zandvoort,Kazernecoordinator
0107310,BRW,Zandvoort,Bevelvoerder van Dienst
0107311,BRW,Zandvoort Noord,Bezetting TS
0107316,BRW,Zandvoort Noord,Chauffeurs WT Ploeg 1
0107319,BRW,Zandvoort Centrum,Bezetting Specialistische Voertuigen
0107321,BRW,Zandvoort Centrum,Bezetting TS
0107326,BRW,Zandvoort Noord,Chauffeurs WT Ploeg 2
0107329,BRW,Zandvoort Noord,Bezetting Bijzondere Voertuigen
0107341,BRW,Zandvoort Noord,Kazernedienst Ma-Vr
0107349,BRW,Zandvoort Noord,Chauffeurs Dagdienst
0107381,BRW,Zandvoort Centrum/Noord,Lichtkrant
0107388,BRW,Zandvoort Noord,Kazernetechniek
0107400,BRW,Beverwijk Oost/West,Postalarm
0107402,BRW,Beverwijk Oost/West,Kazernecoordinatoren
0107410,BRW,Beverwijk Oost,Bevelvoerder van Dienst
0107411,BRW,Beverwijk Oost,Bezetting TS
0107419,BRW,Beverwijk Oost,Chauffeurs HA
0107421,BRW,Beverwijk West,Bezetting TS
0107431,BRW,Beverwijk Oost,Kazernedienst Za Zo
0107441,BRW,Beverwijk Oost,Kazernedienst Ma Vr
0107475,BRW,Beverwijk,Verkenningseenheid
0107481,BRW,Beverwijk Oost/West,Lichtkrant
0107484,BRW,Beverwijk Oost,Kazernetechniek
0107488,BRW,Beverwijk West,Kazernetechniek
0107500,BRW,Heemskerk,Postalarm
0107502,BRW,Heemskerk,Kazernecoordinator
0107510,BRW,Heemskerk,Bevelvoerder van dienst
0107511,BRW,Heemskerk,Ploeg 1
0107521,BRW,Heemskerk,Ploeg 2
0107575,BRW,Heemskerk,Verkenningseenheid
0107581,BRW,Heemskerk,Lichtkrant
0107602,BRW,Heemstede,Kazernecoordinator
0107610,BRW,Heemstede,Bevelvoerder van dienst
