capcode,discipline,locatie/divisie,beschrijving
1002000,BRW,Baarlo,Kazernetechniek
1002001,BRW,Baarlo,PreCom Telling TS
1002005,BRW,Baarlo,Interregionale alarmering via MKOB 's-Hertogenbosch
1002007,BRW,Baarlo,Bezetting TS
1002018,BRW,Baarlo,Monitorcode
1002019,BRW,Baarlo,Bevelvoerder van Dienst
1002020,BRW,Belfeld,Kazernetechniek
1002021,BRW,Belfeld,PreCom Telling TS
1002027,BRW,Belfeld,Ploeg 1
1002028,BRW,Belfeld,Ploeg 2
1002038,BRW,Belfeld,Monitorcode
1002039,BRW,Belfeld,Bevelvoerder van Dienst
1002040,BRW,Bergen,Kazernetechniek
1002041,BRW,Bergen,PreCom Telling TS
1002042,BRW,Bergen,PreCom Telling HA
1002043,BRW,Bergen,PreCom Telling OR
1002045,BRW,Bergen,PreCom Telling HV
1002046,BRW,Bergen,PreCom Telling Schippers
1002047,BRW,Bergen,Ploeg 1
1002048,BRW,Bergen,Ploeg 2
1002049,BRW,Bergen,Ploeg 3
1002050,BRW,Bergen,Specialistische Hulpverlenings Eenheid Ploeg 1
1002051,BRW,Bergen,Specialistische Hulpverlenings Eenheid Ploeg 2
1002053,BRW,Bergen,Oppervlaktewater Redteam
1002054,BRW,Bergen,Schippers
1002056,BRW,Bergen,PreCom Telling VKE
1002058,BRW,Bergen,Monitorcode
1002059,BRW,Bergen,Bevelvoerder van Dienst
1002060,BRW,Echt,Kazernetechniek
1002061,BRW,Echt,PreCom Telling TS
1002063,BRW,Echt,PreCom Telling HV
1002064,BRW,Echt,PreCom Telling VKE
1002067,BRW,Echt,Ploeg 1
1002068,BRW,Echt,Ploeg 2
1002070,BRW,Echt,Specialistische Hulpverlenings Eenheid Ploeg 1
1002071,BRW,Echt,Specialistische Hulpverlenings Eenheid Ploeg 2
1002074,BRW,Echt-Susteren,Burgemeester
1002078,BRW,Echt,Monitorcode
1002079,BRW,Echt,Bevelvoerder van Dienst
1002080,BRW,Gennep,Kazernetechniek
1002081,BRW,Gennep,PreCom Telling TS
1002082,BRW,Gennep,PreCom Telling WTH
1002083,BRW,Gennep,PreCom Telling BRV
1002085,BRW,Gennep,PreCom Telling VKE
1002087,BRW,Gennep,Ploeg 1
1002088,BRW,Gennep,Ploeg 2
1002090,BRW,Gennep,Bezetting WTH Ploeg 1
1002091,BRW,Gennep,Bezetting WTH Ploeg 2
1002093,BRW,Gennep,Schippers
1002098,BRW,Gennep,Monitorcode
1002099,BRW,Gennep,Bevelvoerder van Dienst
1002100,BRW,Heythuysen,Kazernetechniek
1002101,BRW,Heythuysen,PreCom Telling TS
1002102,BRW,Heythuysen,PreCom Telling HA
1002103,BRW,Heythuysen,PreCom Telling Transportploeg COH
1002104,BRW,Heythuysen,PreCom Telling NBH
1002105,BRW,Heythuysen,PreCom Telling VZH
1002106,BRW,Heythuysen,PreCom Telling VKE
1002107,BRW,Heythuysen,Ploeg 1
1002108,BRW,Heythuysen,Ploeg 2
1002109,BRW,Heythuysen,Bezetting HA Ploeg 1
1002110,BRW,Heythuysen,Bezetting HA Ploeg 2
1002111,BRW,Heythuysen,Transportploeg COH Ploeg 1
1002112,BRW,Heythuysen,Transportploeg COH Ploeg 2
1002113,BRW,Heythuysen,Bezetting NBH Ploeg 1
1002114,BRW,Heythuysen,Bezetting NBH Ploeg 2
1002115,BRW,Heythuysen,Bezetting VZH Ploeg 1
1002116,BRW,Heythuysen,Bezetting VZH Ploeg 2
