capcode,discipline,locatie/divisie,beschrijving
0903000,BRW,BRW Gelderland-Zuid,Proefalarm
0903005,BRW,BRW Gelderland-Zuid,Monitorcode Middel Incident
0903006,BRW,BRW Gelderland-Zuid,Monitorcode Groot Incident
0903007,BRW,BRW Gelderland-Zuid,Monitorcode Zeer Groot Incident
0903011,BRW,BRW Gelderland-Zuid,Plotters Verkenningsorganisatie
0903015,BRW,BRW Gelderland-Zuid,PreCom Beheerder
0903024,BRW,Regionaal,Contactpersoon Waterschap Rivierenland
0903025,BRW,Regionaal,Contactpersoon Waterschap Rivierenland
0903028,BRW,Regionaal,Informatiecoordinator ROT
0903029,BRW,BRW Gelderland-Zuid,Regionaal Operationeel Team (Alarm)
0903035,KNRM,Reddingsbrigade Culemborg,Coordinator logistiek
0903046,BRW,OCB Oost-Nederland,Interregionale Alarmering door MKB Oost-Brabant
0903048,BRW,OCB Oost-Nederland,Precom Koppeling MKB Zee/Bra
0903049,BRW,OCB Oost-Nederland,Alarmering door MKB Zee/Bra
0903052,BRW,OCB Oost-Nederland,Infocode MKB Rotterdam
0903085,BRW,Regionaal,Specialist Natuurbrandbeheersing
0903096,BRW,Regionaal,Voorlichter van Dienst (Alarmcode)
0903097,BRW,Regionaal,Woordvoerder (Infocode)
0903098,BRW,BRW Gelderland-Zuid,Communicatieadviseurs (Groepscode)
0903100,BRW,MKB Oost-Nederland,Monitorcode Gelderland-Zuid
0903102,BRW,BRW Gelderland-Zuid,Algemeen Commandant Crisiscommunicatie
0903103,BRW,BRW Gelderland-Zuid,Crisisbeleidsteam
0903104,BRW,BRW Gelderland-Zuid,Floormanager OT
0903105,BRW,BRW Gelderland-Zuid,Beheer/ICT Meldkamer
0903112,BRW,GMK Arnhem-Nijmegen,Piket Management Meldkamer
0903114,BRW,BRW Gelderland-Zuid,Operationeel Leider
0903115,BRW,BRW Gelderland-Zuid,Informatiemanager-OT
0903116,BRW,BRW Gelderland-Zuid,Regionaal Militair Operationeel Adviseur
0903129,BRW,OCB Oost-Nederland,Lichtkranten
0903150,BRW,BRW Gelderland-Zuid,Commandant van Dienst
0903151,BRW,BRW Gelderland-Zuid,Commandanten van Dienst (Groepscode)
0903156,BRW,BRW Gelderland-Zuid,Coordinator Verkenningseenheden
0903190,MKA,Ambulancezorg Gelderland-Zuid,Ambulance Kamp Heumensoord
0903200,BRW,OCB Oost-Nederland,GMS Koppelcode
0903208,BRW,Regionaal,Informatiemanager ROT
0903210,BRW,Regionaal,Geo Informatie Medewerker ROT
0903211,BRW,BRW Gelderland-Zuid,HOvD (Oost)
0903215,BRW,Beneden-Leeuwen,Bezetting GW
0903218,BRW,BRW Gelderland-Zuid,HOvD Oost Rol Taakcommandant
0903219,BRW,BRW Gelderland-Zuid,OvD Midden Rol PCL
0903225,BRW,Nijmegen Centrum,Bezetting BRV
0903226,BRW,BRW Gelderland-Zuid,HOvD Oost (Groepscode)
0903230,BRW,Regionaal,Informatiemanager CoPI Oost
0903231,BRW,Regionaal,Plotters CoPI Oost
0903232,BRW,Regionaal,Informatiemanager Oost
0903233,BRW,BRW Gelderland-Zuid,Adviseur Gevaarlijke Stoffen
0903234,BRW,BRW Gelderland-Zuid,Reserve Adviseur Gevaarlijke Stoffen
0903235,BRW,BRW Gelderland-Zuid,Ademlucht (Oost)
0903237,BRW,BRW Gelderland-Zuid,Arbeidshygiene Oost
0903241,BRW,BRW Gelderland-Zuid,HOvD-B/AGS West
0903244,BRW,Beusichem,Bezetting HA
0903248,BRW,BRW Gelderland-Zuid,Taakcommandant West
0903249,BRW,BRW Gelderland-Zuid,OvD Zuid inzet als Pelotonscommandant Logistiek West
0903250,RB,Reddingsbrigade Culemborg,Lifeguards
0903255,BRW,Tiel,Schipper / Nautische bezetting Batouwe
0903256,BRW,BRW Gelderland-Zuid,HOvD West (Groepscode)
0903263,BRW,Regionaal,Plotters CoPI West
0903264,BRW,Regionaal,Informatiemanager CoPI West
0903265,BRW,Brakel,Logistiek
0903268,BRW,BRW Gelderland-Zuid,Arbeidshygiene West
0903270,BRW,BRW Gelderland-Zuid,Servicecentrum PBM West
0903276,BRW,BRW Gelderland-Zuid,Algemeen Commandant Brandweerzorg
0903280,BRW,BRW Gelderland-Zuid,OvD Noord
0903281,BRW,BRW Gelderland-Zuid,OvD Noord (Groepscode)
0903282,BRW,BRW Gelderland-Zuid,OvD Oost
0903283,BRW,BRW Gelderland-Zuid,OvD Oost (Groepscode)
0903284,BRW,BRW Gelderland-Zuid,OvD Zuid
0903285,BRW,BRW Gelderland-Zuid,OvD Zuid (Groepscode)
0903286,BRW,BRW Gelderland-Zuid,OvD West
0903287,BRW,BRW Gelderland-Zuid,OvD West (Groepscode)
0903288,BRW,BRW Gelderland-Zuid,OvD Midden
0903289,BRW,BRW Gelderland-Zuid,OvD Midden (Groepscode)
0903310,BRW,BRW Gelderland-Zuid,TCO Oost
0903312,BRW,BRW Gelderland-Zuid,TCO Midden
0903314,BRW,BRW Gelderland-Zuid,TCO Noord
0903316,BRW,BRW Gelderland-Zuid,TCO West
0903318,BRW,BRW Gelderland-Zuid,TCO Zuid
0903325,BRW,Beuningen,OvD Bevolkingszorg
0903326,BRW,Buren,OvD Bevolkingszorg
0903327,BRW,Culemborg,OvD Bevolkingszorg
0903328,BRW,Druten,OvD Bevolkingszorg
0903329,BRW,Heumen,OvD Bevolkingszorg
0903330,BRW,Berg en Dal,OvD Bevolkingszorg
0903331,BRW,Maasdriel,OvD Bevolkingszorg
0903332,BRW,West Betuwe,OvD Bevolkingszorg
0903333,BRW,Nijmegen,OvD Bevolkingszorg
0903334,BRW,Neder-Betuwe,OvD Bevolkingszorg
0903335,BRW,Tiel,OvD Bevolkingszorg
0903336,BRW,Wijchen,OvD Bevolkingszorg
0903337,BRW,West Maas & Waal,OvD Bevolkingszorg
0903338,BRW,Zaltbommel,OvD Bevolkingszorg
0903340,BRW,Berg en Dal,decentrale uitgifte
0903341,BRW,Nijmegen,decentrale uitgifte
0903344,BRW,Cluster Zuid,decentrale uitgifte
