capcode,discipline,locatie/divisie,beschrijving
0103001,BRW,Regionaal,LTFO Logistiek
0103002,BRW,Regionaal,LTFO Ontsmettingseenheid
0103003,BRW,Krommenie,Decontaminatieploeg
0103004,BRW,Oosthuizen,Ontsmettingsploeg
0103009,BRW,Regionaal,Coordinator Verkennings Eenheden
0103010,BRW,Regionaal,LTFO AGS
0103011,BRW,Regionaal,Adviseur Gevaarlijke Stoffen (AGS)
0103013,BRW,Assendelft,IBGS ploeg
0103015,BRW,Landsmeer,Verkenningseenheid
0103016,BRW,Beemster,Verkenningseenheid
0103017,BRW,Purmerend,Verkenningseenheid
0103019,BRW,Oostzaan,Verkenningseenheid
0103021,BRW,Zaandam Prins Bernhardplein,Duikploeg
0103025,BRW,Zaandam,Duikadviseur
0103026,BRW,Wormer,Chauffeurs MCU
0103028,BRW,Regionaal,Geo Informatie Medewerker
0103031,BRW,Krommenie,Bezetting HA
0103032,BRW,Zaandam Houtveldweg,Bezetting HA
0103033,BRW,Wormerveer,Bezetting HA
0103036,BRW,Volendam,Bezetting HA
0103037,BRW,Purmerend,Bezetting HA
0103040,BRW,Zaandijk,Chauffeurs/Kraanbedieners HV-KR
0103042,BRW,Edam,Chauffeurs/Kraanbedieners HV-KR
0103044,BRW,Zaandam Botenmakersstraat,Bezetting AL
0103045,BRW,Purmerend,Bezetting HW
0103046,BRW,Wormerveer,Bezetting AL
0103047,BRW,Zaandam Prins Bernhardplein,Bezetting AL
0103048,BRW,Wormerveer/Zaanstad-Noord,Kazerneploeg AL Dagdienst
0103051,BRW,Purmerend,Verzorgingsgroep
0103052,BRW,Regionaal,Coordinator Onderhoud- en Verzorgingsgroep
0103053,BRW,Regionaal,Logistiek functionaris
0103055,BRW,Regionaal,Commandant
0103057,BRW,Regionaal,Algemeen Commandant Brandweerzorg
0103058,BRW,Regionaal,Officier van Dienst West
0103059,BRW,Regionaal,Officier van Dienst Regio/Vrije instroom
0103060,BRW,Regionaal,Officier van Dienst Oost
0103061,BRW,Regionaal,Officier van Dienst (Regio)
0103062,BRW,Regionaal,AC-B / HOvD
0103063,BRW,Regionaal,Taakcommandant
0103070,BRW,Regionaal,Team Brandonderzoek
0103075,BRW,Regionaal,Coordinator TCO
0103076,BRW,Regionaal,Team Collegiale Opvang (TCO)
0103100,BRW,Oosthuizen,Bezetting TS
0103104,BRW,Oosthuizen,Kazernecoordinator
0103105,BRW,Oosthuizen,Lichtkrant
0103107,BRW,Kwadijk,Bezetting TS
0103111,BRW,Kwadijk,Kazernecoordinator
0103112,BRW,Kwadijk,Lichtkrant
0103117,KNBRD,Warder,Reddingboot De Beer Opstappers
0103118,KNBRD,Zeevang,IJsreddingsteam
0103165,BRW,Middenbeemster,Bezetting TS
0103166,BRW,Middenbeemster,Lichtkrant
0103169,BRW,Zuidoostbeemster,Bezetting TS
0103172,BRW,Zuidoostbeemster,Kazernecoordinator
0103175,BRW,Beemster,Kazernecoordinator
0103176,BRW,Beemster,Bevelvoerder van Dienst
0103230,BRW,Edam,Bezetting TS
0103231,BRW,Edam,Lichtkrant
0103232,BRW,Edam,Kazernetechniek
0103237,BRW,Edam,Kazernecoordinator
0103239,BRW,Volendam,Bezetting TS
0103240,BRW,Volendam,Lichtkrant
0103243,BRW,Volendam,Kazernetechniek
0103246,BRW,Volendam,Kazernecoordinator
0103248,BRW,Edam-Volendam,Bevelvoerder van dienst
0103251,BRW,Edam-Volendam,Burgemeester
0103330,BRW,Monnickendam,Bezetting TS
0103333,BRW,Monnickendam,Lichtkrant
0103336,BRW,Monnickendam,Kazernecoordinator
0103338,BRW,Marken,Postalarm
0103341,BRW,Marken,Lichtkrant
0103344,BRW,Marken,Postcoordinator
0103346,BRW,Broek in Waterland,Bezetting TS
0103349,BRW,Broek in Waterland,Lichtkrant
0103352,BRW,Broek in Waterland,Kazernecoordinator
0103354,BRW,Ilpendam,Bezetting TS
0103357,BRW,Ilpendam,Lichtkrant
0103360,BRW,Ilpendam,Kazernecoordinator
0103364,BRW,Waterland,Burgemeester
0103366,KNRM,Marken,ReddingbootFrans Verkade en Hendrik Jacob
0103367,KNRM,Zaanstreek Waterland,Monitor
0103368,KNRM,Marken,IJsreddingsteam
0103470,BRW,Landsmeer,Bezetting TS
0103472,BRW,Landsmeer,Kazernecoordinator
0103473,BRW,Landsmeer,Kazernetechniek
0103540,BRW,Purmerend,Duikploeg
0103546,BRW,Purmerend,Bezetting 2e TS Ploeg 1
0103547,BRW,Purmerend,Bevelvoerders
0103550,BRW,Purmerend,Bezetting 2e TS Ploeg 2
0103560,BRW,Purmerend,Kazernecoordinator
0103561,BRW,Purmerend,Bevelvoerder van dienst
0103562,BRW,Purmerend,Kazernecoordinator Vrijwilligers
0103566,BRW,Purmerend,Lichtkrant
0103570,BRW,Purmerend,Burgemeester
0103680,BRW,Assendelft,Bezetting TS
0103683,BRW,Assendelft,Kazernetechniek
0103684,BRW,Assendelft,Kazernecoordinator
0103685,BRW,Assendelft,Lichtkrant
