capcode,discipline,locatie/divisie,beschrijving
1403000,BRW,BRW Zuid-Holland Zuid,Proefalarm/Infocode
1403001,KNRM,MKB Rotterdam,Monitorcode KNRM Dordrecht
1403003,BRW,BRW Zuid-Holland Zuid,Lichtkrant MKB
1403005,KNRM,BRW Zuid-Holland Zuid,Lichtkrant Rijkswaterstaat Verkeerscentrale Dordrecht
1403006,BRW,MKB Rotterdam,Lichtkranten Regio Zuid-Holland Zuid
1403010,BRW,Regionaal,Adviseur Operationele Voorbereiding
1403015,BRW,Regionaal,Infocode Midden- en West-Brabant
1403020,BRW,Regionaal,Infocode Gelderland Zuid
1403030,BRW,Regionaal,Persinformatie
1403031,BRW,Regionaal,Infocode Groot Incident
1403032,BRW,Regionaal,Infocode Zeer Groot Incident
1403033,POL,OC Politie Eenheid Rotterdam,Infocode Verkeersleider Rijkswaterstaat Dienst Rijkswegen
1403034,BRW,Regionaal,Piket Controleur Preventie
1403035,BRW,Regionaal,Opschalingscode
1403036,BRW,Regionaal,Cado Dordrecht Zuid
1403037,BRW,Regionaal,Veerdienst Schoonhoven
1403038,BRW,Regionaal,Aansturing Slagboom Jachthaven Westergoot Dordrecht
1403050,BRW,Regionaal,Regionaal Operationeel Team (Operationeel Leider)
1403053,BRW,Regionaal,Omgevingsdienst ZHZ (Milieuadviseur) (Piket)
1403054,BRW,Regionaal,Omgevingsdienst ZHZ) (Milieuadviseur) (Achterwacht)
1403058,BRW,Regionaal,OvD West (Alarmcode)
1403059,BRW,Regionaal,OvD West (Infocode)
1403062,BRW,Regionaal,OvD Midden (Alarmcode)
1403063,BRW,Regionaal,OvD Midden (Infocode)
1403066,BRW,Regionaal,OvD Oost (Alarmcode)
1403067,BRW,Regionaal,OvD Oost (Infocode)
1403072,BRW,Regionaal,OvD (Groepscode)
1403073,BRW,Regionaal,OvD (Monitorcode)
1403079,BRW,Regionaal,Leider CoPI
1403081,BRW,Regionaal,Leider CoPI
1403083,BRW,Regionaal,Regionaal Operationeel Team (Hoofd Sectie Brandweer
1403085,BRW,Regionaal,Pelotonscommandant Logistiek
1403086,BRW,Regionaal,Regionaal Operationeel Team (Informatiemanager)
1403089,BRW,Regionaal,Monitorcode Verkenningseenheden
1403090,BRW,Regionaal,Actiecentrum Brandweer
1403091,BRW,Regionaal,Adviseur Gevaarlijke Stoffen
1403092,BRW,Regionaal,Duikadviseurs Regio
1403094,BRW,Regionaal,Persvoorlichting
1403095,BRW,Regionaal,HOvD (Alarmcode)
1403096,BRW,Regionaal,HOvD (Infocode)
1403098,BRW,Regionaal,Informatiemanager CoPI
1403172,OCB,MKB Rotterdam,Tactisch Officier Alarmcentrale (Persoonlijk)
1403180,BRW,Alblasserdam,Schippers/Bezetting BRV-M
1403181,BRW,Alblasserdam,Chauffeurs
1403182,BRW,Alblasserdam,Bevelvoerder van Dienst
1403183,BRW,Alblasserdam,Bezetting TS (Ploeg A)
1403184,BRW,Alblasserdam,Bezetting TS (Ploeg B)
1403185,BRW,Alblasserdam,Kazernetechniek
1403189,BRW,Alblasserdam,Postalarm
1403300,BRW,Mijnsherenland,Monitorcode
1403301,BRW,Heinenoord,Monitorcode
1403302,BRW,Maasdam,Monitorcode
1403303,BRW,Mijnsherenland,Kazernetechniek
1403304,BRW,Heinenoord,Kazernetechniek
1403305,BRW,Maasdam,Kazernetechniek
1403306,BRW,Mijnsheerenland,Bevelvoerder van Dienst
1403307,BRW,Heinenoord,Bevelvoerder van Dienst
1403308,BRW,Maasdam,Bevelvoerder van Dienst
1403309,BRW,Mijnsheerenland,Verkenningseenheid
1403310,BRW,Maasdam/Puttershoek,Postcoordinator
1403317,BRW,Mijnsherenland,Postalarm
1403318,BRW,Maasdam,Postalarm
1403319,BRW,Heinenoord,Postalarm
1403416,BRW,Numansdorp,Bevelvoerder van Dienst
1403417,BRW,Klaaswaal,Bevelvoerder van Dienst
1403419,BRW,Klaaswaal,Kazernetechniek
1403420,BRW,Numansdorp,Kazernetechniek
1403421,BRW,Klaaswaal,Bevelvoerder van Dienst
1403422,BRW,Numansdorp,Monitorcode
1403428,BRW,Numansdorp,Postalarm
1403429,BRW,Klaaswaal,Postalarm
1403577,BRW,Dordrecht,Technische Dienst
1403586,BRW,Regionaal,Hoofd Ondersteuning (Infocode)
1403587,BRW,Regionaal,Hoofd Ondersteuning (Alarmcode)
1403589,BRW,Dordrecht-Noordendijk,Bevelvoerder van Dienst
1403590,BRW,Dordrecht-Noordendijk,Kazernealarm
1403597,BRW,Dordrecht-Noordendijk,Piket groep
1403604,BRW,Dordrecht-Leerpark,Vrijewacht C
1403609,BRW,Dordrecht-Leerpark,Repressieve Kantoor Dienst
1403610,BRW,Dordrecht-Leerpark,Vrijwilligers
1403614,BRW,Dordrecht-Leerpark,Bevelvoerder van Dienst
1403615,BRW,Dordrecht-Noordendijk,Vrijewacht C
1403616,BRW,Dordrecht-Leerpark,Kazernealarm
1403620,BRW,Dordrecht-Leerpark,Vrijewacht B
1403621,BRW,Dordrecht-Noordendijk,Vrijewacht B
1403626,BRW,Dordrecht-Leerpark,Vrijewacht A
1403627,BRW,Dordrecht-Noordendijk,Vrijewacht A
1403628,BRW,Dordrecht-Noordendijk,Herbezetting Specialismen
1403629,BRW,Dordrecht-Leerpark,Herbezetting Specialismen
1403645,BRW,GMK,Planningsstaf
1403729,BRW,Bleskensgraaf,Postcoordinator
1403730,BRW,Brandwijk,Bevelvoerder van Dienst
1403731,BRW,Brandwijk,Veetakelploeg
1403732,BRW,Goudriaan,Postalarm
1403733,BRW,Bleskensgraaf,Bezetting HA
1403734,BRW,Bleskensgraaf/Brandwijk,Verzorgingsgroep
1403735,BRW,Bleskensgraaf,Bevelvoerder van Dienst
1403736,BRW,Brandwijk,Postalarm
1403740,BRW,Bleskensgraaf,Postalarm
1403751,BRW,Goudriaan,Kazernetechniek
1403753,BRW,Brandwijk,Kazernetechniek
1403755,BRW,Bleskensgraaf,Kazernetechniek
1403757,BRW,Goudriaan-Ottoland,Postalarm
1403758,BRW,Brandwijk,Postalarm
1403759,BRW,Bleskensgraaf,Postalarm
1403769,BRW,Arkel,Bevelvoerder van Dienst
1403865,BRW,Hoornaar,Verkenningseenheid
1403866,BRW,Arkel,Bevelvoerder van Dienst
1403867,BRW,Giessenburg,Bevelvoerder van Dienst
1403868,BRW,Hoornaar,Bevelvoerder van Dienst
1403880,BRW,Hoornaar,Veetakelploeg
1403881,BRW,Hoornaar,Monitorcode
1403882,BRW,Hoornaar,Postalarm
1403884,BRW,Giessenburg,Postalarm
1403885,BRW,Giessenbrug,Monitorcode
1403886,BRW,Arkel,Postalarm
1403887,BRW,Hoornaar,Postalarm door MKB Utrecht
1403889,BRW,Arkel,Postalarm door MKB Utrecht
1403954,BRW,'s-Gravendeel,Kazernetechniek
1403955,BRW,'s-Gravendeel,Monitorcode
1403957,BRW,'s-Gravendeel,Bezetting IV
1403963,BRW,'s-Gravendeel,Bezetting CO-MU
1403965,BRW,'s-Gravendeel,Bevelvoerder van dienst
1403969,BRW,'s-Gravendeel,Postalarm
1403989,BRW,Gorinchem,Bevelvoeder van Dienst
1404021,BRW,Gorinchem,Lichtkrant
1404070,BRW,Gorinchem,Bezetting 1e TS
1404074,BRW,Gorinchem,Oppervlaktewater Redteam
1404075,BRW,Gorinchem,Bezetting TS (ANW Ploeg 1)
1404076,BRW,Gorinchem,Bezetting TS (ANW Ploeg 2)
1404077,BRW,Gorinchem,Bezetting AL (Ploeg 1)
1404078,BRW,Gorinchem,Bezetting AL (Ploeg 2)
1404085,BRW,Gorinchem,Pollers centrum
1404094,BRW,Gorinchem,Nautische Bemanning Veertaxi Gorinchem X
1404097,BRW,Gorinchem,Monitorcode
1404099,BRW,Gorinchem,Postalarm
1404192,BRW,Boven-Hardinxveld,Monitorcode
1404193,BRW,Neder-Hardinxveld,Monitorcode
1404194,BRW,Hardinxveld-Giessendam,Bevelvoerder van Dienst
1404203,BRW,Boven-Hardinxveld,Bezetting TS
1404205,BRW,Neder Hardinxveld,Bezetting TS
1404206,BRW,Boven-Hardinxveld,Postalarm
1404209,BRW,Neder-Hardinxveld,DCU
1404214,BRW,VR Zuid-Holland Zuid,Piket OvD-Bevolkingszorg Drechtsteden-Zuid (Persoonlijk)
1404239,BRW,VR Zuid-Holland Zuid,Piket OvD-Bevolkingszorg Drechtsteden-Zuid (Persoonlijk)
1404279,BRW,Hendrik Ido Ambacht,Monitorcode
1404280,BRW,Hendrik Ido Ambacht,Bezetting HA-KR
1404285,BRW,Hendrik Ido Ambacht,Logistiek
1404287,BRW,Hendrik Ido Ambacht,Multifunctioneel Terreinvoertuig
1404289,BRW,Hendrik Ido Ambacht,Bevelvoerder van Dienst
1404290,BRW,Hendrik Ido Ambacht,Bevelvoerder persoonlijke-code
1404291,BRW,Hendrik Ido Ambacht,Kazernetechniek
1404296,BRW,Hendrik Ido Ambacht,Ploeg B
1404298,BRW,Hendrik Ido Ambacht,Ploeg A
1404299,BRW,Hendrik Ido Ambacht,Postalarm
1404404,BRW,Zuid Beijerland,Monitorcode
1404406,BRW,Goudswaard,Monitorcode
1404407,BRW,Zuid Beijerland,Kazernetechniek
1404408,BRW,Nieuw-Beijerland,Kazernetechniek
1404409,BRW,Goudswaard,Kazernetechniek
