capcode,discipline,locatie/divisie,beschrijving
0900000,BRW,GMK Gelderland-Midden,Proefalarm
0900001,BRW,GMK Gelderland-Midden,Lokaal Beheer OCB
0900002,BRW,GMK Gelderland-Midden,Coordinator Meldkamer Arnhem-Nijmegen
0900004,BRW,GMK Gelderland-Midden,Algemeen Commandant Brandweerzorg
0900006,BRW,Regionaal,AGS-OT - CVE (Groepscode)
0900007,BRW,Regionaal,AGS-OT - CVE
0900009,BRW,GMK Gelderland-Midden,Verbindingsfunctionaris
0900018,BRW,Regionaal,HOvD-B-ACB - AGS-OT - OvD (Groepscode)
0900019,BRW,Regionaal,Informatiemanager CoPI
0900020,BRW,Regionaal,Voorlichter Oost (Alarmcode)
0900021,BRW,Regionaal,Voorlichter West (Alarmcode)
0900025,BRW,Regionaal,Regionaal Operationeel Leider (Alarmcode)
0900033,BRW,Regionaal,Geo Informatie Medewerker CoPI
0900035,BRW,Regionaal,Adviseur Gevaarlijke Stoffen Oost (Alarmcode)
0900036,BRW,Regionaal,OvD Cluster Oost (Alarmcode)
0900037,BRW,Regionaal,OvD Oost (Infocode)
0900038,BRW,Regionaal,OvD's Cluster Oost (Groepscode)
0900039,BRW,Regionaal,Commandant van Dienst - Operationeel Leider
0900044,BRW,Regionaal,Regionaal Duikadviseur
0900045,BRW,Regionaal,OvD Cluster Zuid (Alarmcode)
0900046,BRW,Regionaal,OvD's Zuid (Groepscode)
0900047,BRW,Regionaal,OvD Zuid (Infocode)
0900048,BRW,Regionaal,Piket Voorlichting Oost (Infocode)
0900049,BRW,Regionaal,Piket Voorlichting West (Infocode)
0900050,BRW,Regionaal,Medewerker Sectie Brandweer
0900095,BRW,Gelderland Midden,Persoonlijkecode
0900097,BRW,Regionaal,Incidentmanagment (Persoonlijkecode)
0900100,BRW,Giesbeek,Bezetting TS
0900101,BRW,Giesbeek,Bezetting BRV-M
0900104,BRW,Giesbeek,Kader
0900105,BRW,Giesbeek,First Responders
0900106,BRW,Giesbeek,Oppervlaktewater Redteam
0900300,BRW,Arnhem-Noord,Lichtkrant
0900301,BRW,Arnhem-Noord,24-uursdienst
0900307,BRW,Arnhem-Noord,Bevelvoerder van dienst (Ploegchef Noord + Zuid)
0900308,BRW,BRW Gelderland-Midden,OvD Cluster Midden (Alarmcode)
0900309,BRW,BRW Gelderland-Midden,OvD Midden (Infocode)
0900310,BRW,BRW Gelderland-Midden,OvD Cluster Midden (Groepscode)
0900311,BRW,Arnhem,TCO
0900315,BRW,Arnhem-Zuid,Dienstvrije Duikploeg
0900321,BRW,Arnhem-Noord,Herbezettingsploeg 1
0900322,BRW,Arnhem-Noord,Herbezettingsploeg 2
0900324,BRW,Arnhem-Noord,Herbezettingsploeg 3
0900337,BRW,Cluster Midden,Arbeidshygiene Ploeg 1 ANW
0900338,BRW,Cluster Midden,Arbeidshygiene Ploeg 2 ANW
