capcode,discipline,locatie/divisie,beschrijving
0400001,BRW,Regionaal,Pelotonscommandant Logistiek
0400003,BRW,Regionaal,Pelotonscommandant Logistiek/Water (Oost)
0400004,BRW,Regionaal,Pelotonscommandant Logistiek/Water (Midden)
0400005,BRW,Regionaal,Pelotonscommandant Logistiek (West)
0400006,BRW,Regionaal,Adviseur Gevaarlijke Stoffen
0400007,BRW,Regionaal,Adviseur Gevaarlijke Stoffen (ROT)
0400008,BRW,Regionaal,Adviseurs Gevaarlijke Stoffen (Groepscode)
0400011,BRW,Regionaal,Algemeen Commandant
0400014,BRW,Regionaal,Hoofd Officier van Dienst
0400016,BRW,Regionaal,Hoofd Officieren (Groepscode)
0400021,BRW,Regionaal,Woordvoerder van Dienst
0400022,BRW,Regionaal,Woordvoerders (Groepscode)
0400025,BRW,Regionaal,Algemeen Commandant Bevolkingszorg
0400026,BRW,Regionaal,Voorlichting (Hoofd Communicatie)
0400027,BRW,Regionaal,Hoofd taakorganisatie Publieke zorg en Omgevingszorg
0400028,BRW,Regionaal,Hoofd Taakorganisatie Informatie & Ondersteuning
0400029,BRW,Regionaal,Communicatie Adviseur CoPI
0400030,BRW,Regionaal,Communicatie Adviseur ROT
0400031,BRW,Regionaal,Communicatie Adviseur GBT
0400032,BRW,Regionaal,Stichting Salvage (Coördinator)
0400036,BRW,Regionaal,Coordinator TCO/COT Team
0400040,BRW,Regionaal,OvD Bevolkingszorg (West)
0400041,BRW,Regionaal,OvD Bevolkingszorg (Oost)
0400043,BRW,Regionaal,Coördinator Publieke Zorg
0400044,BRW,Regionaal,Medewerker Publieke Zorg
0400045,BRW,Regionaal,Informatiemanagement en Automatisering - Piket
0400046,BRW,Regionaal,Informatiemanagement en Automatisering - Groep
0400049,BRW,Regionaal,Officier Defensie
0400053,BRW,Regionaal,Informatiemanager CoPI
0400056,BRW,Regionaal,Beheer
0400057,BRW,Regionaal,Chauffeur CO-MU / GIM CoPI
0400063,BRW,Regionaal,Beheer OOV Alert
0400065,BRW,Regionaal,Beheer
0400072,BRW,Duitsland,Infocode Feuerwehr Landkreis Leer Duitsland
0400074,BRW,Duitsland,Infocode Rettungstelle Meppen Duitsland
0400099,BRW,MKB Noord Nederland,Centralist
0400100,BRW,MKB Noord Nederland,Beheer
0400102,BRW,MKB Noord Nederland,?
0400108,BRW,MKB Noord Nederland,Centralist
0400109,BRW,MKB Noord Nederland,Beheer
0400110,BRW,MKB Noord Nederland,Centralist
0400111,BRW,Regionaal,OVD Midden
0400112,BRW,Regionaal,OVD Noord
0400113,BRW,Regionaal,OVD Oost
0400114,BRW,Regionaal,OVD West
0400115,BRW,Regionaal,OVD Midden (Infocode)
0400116,BRW,Regionaal,OVD Noord (Infocode)
0400117,BRW,Regionaal,OVD Oost (Infocode)
0400118,BRW,Regionaal,OVD West (Infocode)
0400131,BRW,Regionaal,OVD Midden (Groepscode)
0400132,BRW,Regionaal,OVD Noord (Groepscode)
0400133,BRW,Regionaal,OVD Oost (Groepscode)
0400134,BRW,Regionaal,OVD West (Groepscode)
0400191,BRW,Duitsland,Ruetenbrock - Duitsland (Bezetting TS)
0400192,BRW,Duitsland,Rhede - Duitsland (Bezetting TS)
0400199,BRW,Duitsland,Feuerwehr Landkreis Leer (Ortsfeuerwehr Bunde) (Bezetting TS)
0400220,BRW,Bedum,Ploegchef
0400248,BRW,Bedum,Postalarm
0400249,BRW,Bedum,Kazernetechniek
0400255,BRW,Regionaal,Piket Preventie Inspecteur
0400256,BRW,Regionaal,Preventie (Groepscode)
0400265,BRW,Groningen,Infocode Middelincident Groningen
0400266,BRW,Groningen,Teamleider
0400271,BRW,Groningen Sontweg/Vinkhuizen,TS 01-1832
0400272,BRW,Groningen Sontweg/Vinkhuizen,TS 01-1831
0400274,BRW,Groningen Sontweg/Vinkhuizen,TS 01-1833
0400275,BRW,Groningen Sontweg,SBH 01-1860
0400276,BRW,Groningen Sontweg/Vinkhuizen,HW 01-1850
0400277,BRW,Groningen Sontweg/Vinkhuizen,HW 01-1851
0400278,BRW,Groningen Sontweg,HV-KR 01-1871
0400279,BRW,Groningen Sontweg,HV 01-1873
0400280,BRW,Groningen Sontweg,WO 01-1810
0400281,BRW,Groningen Sontweg,BRV 01-1812
0400292,BRW,Winschoten,HA 01-2982
0400293,BRW,Groningen Sontweg,HA 01-1883
0400299,BRW,Groningen Sontweg,DA-AGS 0126
0400301,BRW,Groningen Sontweg,BOH-DC 01-1821
0400303,BRW,Groningen Harkstede,Bezetting DB + ABA
0400304,BRW,Groningen Sontweg,Bezetting TK-K + ABA
0400305,BRW,Groningen Sontweg,Poederblusaanhanger (PBA)
0400308,BRW,Regionaal,OvD West (DB-OD 3493)
0400309,BRW,Regionaal,OvD Noord (DB-OD 3793)
0400310,BRW,Regionaal,OvD Midden (DB-OD 3593)
0400311,BRW,Regionaal,OvD Oost (DB-OD 3693)
0400360,BRW,Groningen Sontweg,Ploegchef
0400362,BRW,Groningen Sontweg,Kazernealarm Duikploeg
0400363,BRW,Groningen Sontweg,Kazernealarm TS
0400364,BRW,Groningen Sontweg,Kazernealarm Chauffeurs
0400388,BRW,Groningen Sontweg,Kazernealarm
0400389,BRW,Groningen Sontweg,Kazernetechniek
0400390,BRW,Groningen Vinkhuizen,Ploegchef
0400392,BRW,Groningen Vinkhuizen,Kazernealarm
0400400,BRW,Groningen,Brugwachter Oostersluis
0400418,BRW,Groningen Vinkhuizen,Postalarm
0400419,BRW,Groningen Vinkhuizen,Kazernetechniek
0400451,BRW,Haren,Postalarm
0400460,BRW,Haren,Bevelvoerder van Dienst
0400461,BRW,Haren,TS 01-2031
0400463,BRW,Haren,TS 01-2032
0400466,BRW,Haren,BRV-K 01-2016
0400470,BRW,Haren,Verkenningseenheid
0400481,BRW,Haren,Ploeg A
0400482,BRW,Haren,Ploeg B
0400488,BRW,Haren,Postalarm
0400489,BRW,Haren,Kazernetechniek
0400491,BRW,Noord-Midden,Infocode Gebied Noord-Midden
0400501,BRW,Hoogezand,TS 01-2131
0400504,BRW,Hoogezand,HW 01-2150
0400505,BRW,Hoogezand,TS 01-2133
0400507,BRW,Hoogezand,HA 01-2182 + VZH 01-0197
0400510,BRW,Hoogezand,Verkenningseenheid
0400511,BRW,Hoogezand,Ploegchef Ploeg A
0400512,BRW,Hoogezand,Ploegchef Ploeg B
0400513,BRW,Hoogezand,Ploegchef Ploeg C
0400514,BRW,Hoogezand,Ploegchef Ploeg D
0400516,BRW,Hoogezand,Chauffeurs Ploeg A
0400517,BRW,Hoogezand,Chauffeurs Ploeg B
0400518,BRW,Hoogezand,Chauffeurs Ploeg C
0400519,BRW,Hoogezand,Chauffeurs Ploeg D
0400521,BRW,Hoogezand,Ploeg A
0400522,BRW,Hoogezand,Ploeg B
0400523,BRW,Hoogezand,Ploeg C
0400524,BRW,Hoogezand,Ploeg D
0400525,BRW,Hoogezand,Bedrijfsbrandweer Eska Graphic Board
0400528,BRW,Hoogezand,Postalarm
0400529,BRW,Hoogezand,Kazernetechniek
0400531,BRW,Noord-Midden,Teamleider Noord-Midden
0400540,BRW,Harkstede,Ploegchef
0400541,BRW,Harkstede,TS 01-2231
0400561,BRW,Harkstede,Postalarm
0400568,BRW,Harkstede,Postalarm
0400570,BRW,Siddeburen,Ploegchef
0400571,BRW,Siddeburen,TS 01-2232
0400591,BRW,Siddeburen,Postalarm
0400599,BRW,Siddeburen,Kazernetechniek
0400601,BRW,Slochteren,TS 01-2233
0400621,BRW,Slochteren,Postalarm
0400627,BRW,Slochteren,Ploegchef
0400629,BRW,Slochteren,Kazernetechniek
0400631,BRW,Noord-West,Infocode Middelincident Noord-West
0400640,BRW,Ten Boer,Ploegchef
0400641,BRW,Ten Boer,TS 01-1731
0400650,BRW,Ten Boer,Verkenningseenheid
0400661,BRW,Ten Boer,Postalarm
0400669,BRW,Ten Boer,Kazernetechniek
0400680,BRW,Appingedam,Ploegchef
0400681,BRW,Appingedam,TS 01-3131
0400701,BRW,Appingedam,Postalarm
0400709,BRW,Appingedam,Kazernetechniek
0400711,BRW,Noord-Midden,Infocode Middelincident Noord-Midden
0400721,BRW,Bierum,TS 01-3031
0400730,BRW,Bierum,Verkenningseenheid
0400731,BRW,Bierum,Ploegchef
0400741,BRW,Bierum,Postalarm
0400749,BRW,Bierum,Kazernetechniek
0400750,BRW,Delfzijl,Ploegchef van Dienst
0400751,BRW,Delfzijl,TS 01-3032
0400752,BRW,Delfzijl,TS 01-3033
0400753,BRW,Delfzijl,HV-KR 01-3071
0400754,BRW,Delfzijl,HW 01-3050
0400755,BRW,Delfzijl,OR 01-3011
0400756,BRW,Oosterhorn+Groningen,Gebiedscode Oosterhorn + Infocode Groningen Seaports
0400759,BRW,Delfzijl,Chauffeurs + Bedieners HW Ploeg 1
0400760,BRW,Delfzijl,Chauffeurs + Bedieners HW Ploeg 2
0400761,BRW,Delfzijl,Chauffeurs HV-KR Ploeg 1
0400762,BRW,Delfzijl,Chauffeurs HV-KR Ploeg 2
0400763,BRW,Delfzijl,Chauffeurs HV-KR Ploeg 3
0400765,BRW,Delfzijl,Chauffeurs + Bedieners HW Ploeg 3
0400766,BRW,Delfzijl,Chauffeurs + Bedieners SB Ploeg 1
0400767,BRW,Delfzijl,Chauffeurs + Bedieners SB Ploeg 2
0400768,BRW,Delfzijl,Chauffeurs + Bedieners SB Ploeg 3
0400771,BRW,Delfzijl,Bezetting HW
0400772,BRW,Delfzijl,Bezetting HA/SB
0400773,BRW,Delfzijl,Bezetting HV-KR
0400774,BRW,Delfzijl,Oppervlaktewater Redteam
0400775,BRW,Delfzijl,Dienstwisselcode
0400778,BRW,Delfzijl,Postalarm
0400779,BRW,Delfzijl,Kazernetechniek
0400781,BRW,Wagenborgen,TS 01-3034
0400790,BRW,Wagenborgen,Verkenningseenheid
0400791,BRW,Wagenborgen,Ploegchef
0400801,BRW,Wagenborgen,Postalarm
0400809,BRW,Wagenborgen,Kazernetechniek
0400811,BRW,Woldendorp,TS 01-3035
0400831,BRW,Woldendorp,Bezetting TS
0400838,BRW,Woldendorp,Postalarm
0400839,BRW,Woldendorp,Kazernetechniek
0400850,BRW,Uithuizen,Ploegchef
0400851,BRW,Uithuizen,TS 01-3331
0400852,BRW,Eemshaven,Brandveilig Ondernemen Team (BVO Team)
0400853,BRW,Uithuizen,TS 01-3332
0400861,BRW,Uithuizen,Ploeg A
0400862,BRW,Uithuizen,Ploeg B
0400868,BRW,Uithuizen,Postalarm
0400869,BRW,Uithuizen,Kazernetechniek
0400881,BRW,Delfzijl,Ploeg 1
0400882,BRW,Delfzijl,Chauffeurs Ploeg 1
0400883,BRW,Delfzijl,Ploeg 2
0400884,BRW,Delfzijl,Chauffeurs Ploeg 2
0400885,BRW,Delfzijl,Ploeg 3
0400886,BRW,Delfzijl,Chauffeurs Ploeg 3
0400900,BRW,Delfzijl Chemie Park,SPB 01-3932
0400901,BRW,Delfzijl Chemie Park,Bezetting SPB
0400920,BRW,Loppersum,Ploegchef
0400921,BRW,Loppersum,TS 01-3232
0400930,BRW,Loppersum,Verkenningseenheid
0400941,BRW,Loppersum,Postalarm
0400949,BRW,Loppersum,Kazernetechniek
0400950,BRW,Middelstum,Ploegchef
0400951,BRW,Middelstum,TS 01-3231
0400971,BRW,Middelstum,Postalarm
0400979,BRW,Middelstum,Kazernetechniek
0401020,BRW,Bellingwolde,Ploegchef
0401023,BRW,Bellingwolde,TS 01-2831
0401048,BRW,Bellingwolde,Postalarm
0401049,BRW,Bellingwolde,Kazernetechniek
0401060,BRW,Zuidbroek,Ploegchef
0401061,BRW,Zuidbroek,TS 01-2331
0401088,BRW,Zuidbroek,Postalarm
0401089,BRW,Zuidbroek,Kazernetechniek
0401091,BRW,Zuid-Oost,Infocode Middelincident Gebied Zuid-Oost
0401100,BRW,Nieuwe Pekela,Ploegchef
0401101,BRW,Nieuwe Pekela,TS 01-2431
0401103,BRW,Nieuwe Pekela,Bezetting HV
0401121,BRW,Nieuwe Pekela,Postalarm
0401127,BRW,Nieuwe Pekela,Dagdienst
0401128,BRW,Nieuwe Pekela,Postalarm
0401129,BRW,Nieuwe Pekela,Kazernetechniek
0401130,BRW,Oude Pekela,Ploegchef
0401131,BRW,Oude Pekela,TS 01-2432
0401151,BRW,Oude Pekela,Postalarm
0401159,BRW,Oude Pekela,Kazernetechniek
0401167,BRW,Veendam,Ploegchef
0401171,BRW,Veendam,TS 01-2532
0401172,BRW,Veendam,TS 01-2531
0401173,BRW,Nieuwe Pekela,HV-2 01-2472
0401174,BRW,Veendam,HW 01-2550
0401175,BRW,Veendam,HA 01-2582
0401187,BRW,Veendam,Bezetting HA - Ploeg A
0401188,BRW,Veendam,Bezetting HA - Ploeg B
