capcode,discipline,locatie/divisie,beschrijving
0300010,BRW,Regionaal,OVD-B Noord
0300011,BRW,Regionaal,OVD-B Noord Groepscode
0300020,BRW,Regionaal,OVD-B Noord-Oost
0300021,BRW,Regionaal,OVD-B Noord-Oost Groepscode
0300022,BRW,Regionaal,Functionaris Logistiek
0300030,BRW,Regionaal,OVD-B Zuid-Oost
0300031,BRW,Regionaal,OVD-B Zuid-Oost Groepscode
0300040,BRW,Regionaal,OVD-B Zuid
0300041,BRW,Regionaal,OVD-B Zuid Groepscode
0300042,BRW,Regionaal,Functionaris Logistiek
0300050,BRW,Regionaal,OVD-B Zuid-West
0300051,BRW,Regionaal,OVD-B Zuid-West Groepscode
0300055,BRW,OCB Noord-Nederland,Monitor
0300060,BRW,Regionaal,OVD-B Noord-West
0300061,BRW,Regionaal,OVD-B Noord-West - Groepscode
0300070,BRW,Regionaal,Adviseur Gevaarlijke Stoffen
0300072,BRW,Regionaal,HOvD
0300078,BRW,Regionaal,Algemeen Commandant Brandweerzorg
0300079,BRW,Regionaal,HOvD Groepscode
0302001,BRW,Buitenpost,Kazernealarm
0302002,BRW,Drogeham,Kazernealarm
0302003,BRW,Surhuisterveen,Kazernealarm
0302004,BRW,Hollum,Postalarm
0302005,BRW,Nes,Postalarm
0302006,BRW,Akkrum,Kazernealarm
0302007,BRW,Grou,Kazernealarm
0302008,BRW,Bolsward,Kazernealarm
0302009,BRW,Damwoude,Kazernealarm
0302010,BRW,Zwaagwesteinde,Kazernealarm
0302011,BRW,Anjum,Kazernealarm
0302012,BRW,Dokkum,Kazernealarm
0302013,BRW,Ternaard,Kazernealarm
0302014,BRW,Ferwert,Kazernealarm
0302015,BRW,Hallum,Kazernealarm
0302016,BRW,Franeker,Kazernealarm
0302017,BRW,Bakhuizen,Kazernealarm
0302018,BRW,Balk,Kazernealarm
0302019,BRW,Sloten,Kazernealarm
0302020,BRW,Harlingen,Kazernealarm
0302021,BRW,Heerenveen,Kazernealarm
0302022,BRW,Jubbega,Kazernealarm
0302023,BRW,Nieuwehorne,Kazernealarm
0302024,BRW,Tjalleberd,Kazernealarm
0302025,BRW,Sint Annaparochie,Kazernealarm
0302026,BRW,Kollum,Kazernealarm
0302027,BRW,Leeuwarden-Hoofdpost,Kazernealarm
0302028,BRW,Leeuwarden-Noord,Kazernealarm
0302029,BRW,Stiens,Kazernealarm
0302030,BRW,Echten,Kazernealarm
0302031,BRW,Lemmer,Kazernealarm
