capcode,discipline,locatie/divisie,beschrijving
0500000,BRW,MkNN,Proefalarm
0500011,BRW,Regionaal,Algemeen Commandant
0500012,BRW,Regionaal,Operationeel Leider
0500014,BRW,Regionaal,HOvD-2
0500015,BRW,Regionaal,HOvD-1
0500016,BRW,Regionaal,HOVD-B (Groepscode)
0500017,BRW,GMK Drenthe,Calamiteitencoördinator
0500018,BRW,Cluster Noord Nederland,TeamBrandOnderzoek (Alarmcode)
0500020,BRW,Cluster Noord Nederland,TeamBrandOnderzoek (Infocode)
0500021,BRW,Regionaal,Pelotonscommandant Logistiek
0500044,BRW,MkNN,Centralisten (Persoonlijkecode)
0500053,BRW,MkNN,Centralisten (Persoonlijkecode)
0500080,BRW,MkNN,Hoofd Meldkamer
0500081,BRW,MkNN,Centralist (Persoonlijkecode)
0500090,BRW,Regionaal,Team Digitale Verkenning
0500091,BRW,Regionaal,Team Digitale Verkenning
0500095,BRW,Regionaal,Adviseur WT Pendel Systeem
0500098,BRW,MkNN,Lichtkrant
0500100,BRW,Annen,Ploeg A
0500101,BRW,Annen,Ploeg B
0500118,BRW,Annen,Postalarm
0500119,BRW,Annen,Postalarm Totaal
0500150,BRW,Gasselternijveen,Bezetting TS Ploeg A
0500151,BRW,Gasselternijveen,Bezetting TS Ploeg B
0500155,BRW,Gasselternijveen,Monitor
0500169,BRW,Gasselternijveen,Postalarm
0500200,BRW,Gieten,Postalarm
0500202,BRW,Gieten,Dagdienst
0500204,BRW,Gieten,Verkenningseenheid
0500215,BRW,Gieten,Monitor
0500216,BRW,Gieten,Bezetting WT
0500250,BRW,Rolde,Ploeg A
0500251,BRW,Rolde,Ploeg B
0500255,BRW,Rolde,Monitor
0500269,BRW,Rolde,Postalarm
0500299,BRW,Aa en Hunze,Dagondersteuning
0500304,BRW,Assen Oost,Oud&Nieuw Ploeg
0500311,BRW,Assen West,Duikers
0500315,BRW,Regionaal,OvD (Noord en Midden)
0500321,BRW,Assen,Burgemeester
0500330,BRW,Assen Oost,Ploeg A
0500331,BRW,Assen Oost,Ploeg B
0500333,BRW,Assen Oost,Ploeg A/B
0500335,BRW,Assen Oost,Monitor
0500339,BRW,Assen Oost,Postalarm
0500340,BRW,Assen West,Ploeg A
0500341,BRW,Assen West,Ploeg B
0500342,BRW,Assen West,Ploeg C
0500343,BRW,Assen West,Chauffeurs dagdienst
0500345,BRW,Assen West,Monitor
0500347,BRW,Assen West,Kazerneploeg TS dagdienst
0500349,BRW,Assen West,Postalarm
0500351,BRW,Assen West,Bezetting COH-MU
0500353,BRW,Assen West,Bezetting SAA
0500354,BRW,Assen West,Schippers BRV
0500358,BRW,Assen West,Oud&Nieuw Ploeg
0500359,BRW,Assen West,Evenementencode
0500395,BRW,Assen West,Kazernehek
0500396,BRW,Assen West,Bezetting SAA dagdienst Ploeg
0500398,BRW,Assen Oost,Kazernetechniek
0500399,BRW,Assen West,Kazernetechniek
0500400,BRW,Borger,Bezetting TS/WT
0500403,BRW,Borger,Verkenningseenheid
0500415,BRW,Borger,Monitor
0500450,BRW,2e Exloermond,Postalarm
0500467,BRW,2e Exloermond,Bezetting WT
0500500,BRW,Coevorden,Ploeg A
0500501,BRW,Coevorden,Ploeg B
0500502,BRW,Coevorden,Ploeg C
0500503,BRW,Coevorden,Dagcode
0500518,BRW,Coevorden,Kazernehek
0500519,BRW,Coevorden,Postalarm
0500600,BRW,Schoonoord,Postalarm
0500650,BRW,Sleen,Postalarm
0500700,BRW,Zweeloo,Postalarm
0500718,BRW,Zweeloo,Kazernetechniek
0500719,BRW,Zweeloo,Bezetting BSA
0500750,BRW,Zwinderen,Postalarm
0500767,BRW,Zwinderen,Bezetting WT
0500768,BRW,Zwinderen,Kazernetechniek
0500769,BRW,Zwinderen,Postalarm Totaal
0500800,BRW,Coevorden,Bedrijfsbrandweer Forbo Novilon
0500810,BRW,Regionaal,Militair Operationeel Adviseur
0500820,BRW,Eelde,Bedrijfsbrandweer Groningen Airport Eelde (Commandant)
0500821,BRW,Eelde,Bedrijfsbrandweer Groningen Airport Eelde (Bezetting CT Ploeg 1)
0500822,BRW,Eelde,Bedrijfsbrandweer Groningen Airport Eelde (Bezetting CT Ploeg 2)
0500839,BRW,Emmen,Bedrijfsbrandweer Emmtec Services
0500843,BRW,Regionaal,OvD Groepscode
0500850,BRW,Emmen,Kazernealarm
0500851,BRW,Emmen,Duikalarm
0500853,BRW,Regionaal,OvD Zuid-Oost
0500868,BRW,Emmen,Kazernetechniek
0500869,BRW,Emmen,Postalarm
0500870,BRW,Emmen,Gemeentelijk Commandant
0500896,BRW,Emmen,Coordinator TCO (Zuidoost)
0500898,BRW,Emmen,Monitorcode
0500950,BRW,Emmer-Compascuum,Postalarm
0500968,BRW,Emmer-Compascuum,Kazernetechniek
0501000,BRW,Klazienaveen,Bezetting TS Ploeg A
0501001,BRW,Klazienaveen,Bezetting TS Ploeg B
0501002,BRW,Klazienaveen,Bezetting TS Ploeg C
0501004,BRW,Klazienaveen,Verkenningseenheid
0501005,BRW,Klazienaveen,Chauffeurs
0501006,BRW,Klazienaveen,Dagondersteuning
0501016,BRW,Klazienaveen,Bezetting WT
0501018,BRW,Klazienaveen,Kazernetechniek
0501019,BRW,Klazienaveen,Postalarm
0501050,BRW,Schoonebeek,Postalarm
0501068,BRW,Schoonebeek,Kazernetechniek
0501100,BRW,Hoogeveen,A Ploeg
0501101,BRW,Hoogeveen,B Ploeg
0501102,BRW,Hoogeveen,C Ploeg
0501104,BRW,Hoogeveen,Bevelvoerder van Dienst
0501106,BRW,Hoogeveen,Verkenningseenheid IBGS
0501107,BRW,Hoogeveen,A Ploeg Verzorging
0501108,BRW,Hoogeveen,B Ploeg Verzorging
0501109,BRW,Hoogeveen,C Ploeg Verzorging
0501110,BRW,Regionaal,Coordinator TCO Zuidwest
0501111,BRW,Hoogeveen,Chauffeurs A Ploeg
0501112,BRW,Hoogeveen,Chauffeurs B Ploeg
0501113,BRW,Hoogeveen,Chauffeurs C Ploeg
0501116,BRW,Havelte,Verzorgingsploeg
0501118,BRW,Hoogeveen,Kazernehek
0501119,BRW,Hoogeveen,Postalarm
0501120,BRW,Hoogeveen,Persoonlijkcode
0501158,BRW,Hoogeveen,Persoonlijkcode
0501178,BRW,Hoogeveen,Persoonlijkcode
0501195,BRW,Hoogeveen,Persoonlijkcode
0501200,BRW,Meppel,Bezetting TS Ploeg A
0501201,BRW,Meppel,Bezetting TS Ploeg B
0501204,BRW,Regionaal,OvD Zuid-West
0501206,BRW,Meppel,Bezetting TS Dagploeg
0501210,BRW,Meppel,Monitor
0501214,BRW,Meppel,Bezetting HW Ploeg A
0501215,BRW,Meppel,Bezetting HW Ploeg B
0501216,BRW,Meppel,Bezetting WT Ploeg A
