capcode,discipline,locatie/divisie,beschrijving
1400001,KNRM,Reddingstation Ouddorp,Bezetting Reddingboot + Walploeg
1400003,KNRM,KNRM Reddingstation Stellendam Buiten,Bezetting Reddingboot Antoinette
1400004,KNRM,KNRM Reddingstation Stellendam Binnen,Bezetting Reddingboot
1400005,KNRM,KNRM Reddingstation Hoek van Holland,Bezetting Reddingboot Jeannine Parqui
1400006,KNRM,GMK Rotterdam-Rijnmond,Monitor KNRM
1400008,KNRM,Helvoetse Reddingsbrigade,Commando
1400009,KNRM,Helvoetse Reddingsbrigade,Alarmploeg
1400017,BRW,Regionaal,Piket Pelotonscommandant Logistiek (Persoonlijk)
1400018,BRW,Regionaal,Informatiemanager (Persoonlijk)
1400019,BRW,Regionaal,GEO Informatiemedewerker (Persoonlijk)
1400020,BRW,Regionaal,Leider CoPI (Persoonlijk)
1400021,BRW,Regionaal,Woordvoerde) (Persoonlijk)
1400023,BRW,Regionaal,Leider CoPI/Regionaal Operationeel Leider (Persoonlijk)
1400026,BRW,Regionaal,Regionaal Operationeel Leider (Persoonlijk)
1400028,BRW,Regionaal,Leider CoPI (Persoonlijk)
1400029,BRW,Regionaal,Sectie Communicatie (Persoonlijk)
1400030,BRW,Regionaal,Woordvoerder (Persoonlijk)
1400032,BRW,GMK Rotterdam,Centralist (Persoonlijk)
1400033,BRW,GMK Rotterdam,Centralist (Persoonlijk)
1400034,BRW,Regionaal,Informatiemanager ROT (Persoonlijk)
1400035,BRW,GMK Rotterdam,Centralist (Persoonlijk)
1400036,BRW,Regionaal,Piket Informatiemanager
1400037,BRW,Regionaal,Piket Regionaal Operationeel Leider (Persoonlijk)
1400038,BRW,Regionaal,Officier (Persoonlijk)
1400039,BRW,Regionaal,Woordvoerder (Persoonlijk)
1400042,BRW,Regionaal,Informatiemanager ROT (Persoonlijk)
1400043,BRW,Regionaal,Centralist (Persoonlijk)
1400044,BRW,Regionaal,Tactisch Officier Alarmcentrale (Persoonlijk)
1400047,BRW,Regionaal,Tactisch Officier Alarmcentrale (Persoonlijk)
1400048,BRW,Regionaal,Hoofdofficier (Persoonlijk)
1400050,BRW,Regionaal,Kazerne Coordinator Maasmond
1400054,BRW,Regionaal,Hoofdofficier 1+2
1400056,BRW,Regionaal,Onbekende code
1400058,BRW,Regionaal,Kazerne Coordinator Maasmond (Persoonlijk)
1400060,BRW,Regionaal,Kazerne Coordinator Maasmond) (Persoonlijk)
1400061,BRW,Regionaal,Piket Pelotonscommandant Logistiek (Persoonlijk)
1400062,BRW,Regionaal,Piket Pelotonscommandant Logistiek (Persoonlijk)
1400063,BRW,Gezamenlijke Brandweer Rotterdam,Coordinator (Persoonlijk)
1400064,BRW,Regionaal,ROL/Leider CoPI (Persoonlijk)
1400065,BRW,Regionaal,Piket Hoofdofficier (Persoonlijk)
1400066,BRW,Regionaal,Persoonlijke Code
1400067,BRW,Regionaal,Pelotonscommandant Logistiek (Persoonlijk)
1400068,BRW,Regionaal,Piket Pelotonscommandant Logistiek (Persoonlijk)
1400071,BRW,Regionaal,Teamleider Team Digitale Verkenning (Persoonlijk)
1400073,BRW,Regionaal,Piket Pelotonscommandant Logistiek (Persoonlijk)
1400075,BRW,Regionaal,Voorlichting (Persoonlijk)
1400076,BRW,Regionaal,Voorlichting (Persoonlijk)
1400077,BRW,Regionaal,Leider CoPI / Regionaal Operationeel Leider (Persoonlijk)
1400078,BRW,Regionaal,Waterschapsvertegenwoordiger
1400079,BRW,Regionaal,Stafofficier Zuid (Persoonlijk)
1400083,BRW,Regionaal,Hoofdofficier (Persoonlijk)
1400084,BRW,Regionaal,Woordvoerder (Persoonlijk)
1400086,BRW,Regionaal,Informatiemanager (Persoonlijk)
1400087,BRW,Regionaal,Tactisch Officier Alarmcentrale (Persoonlijk)
1400088,BRW,Regionaal,Gezagvoerder/Teamleider Team Digitale Verkenning (Persoonlijk)
1400089,BRW,Regionaal,Teamleider Team Digitale Verkenning (Persoonlijk)
1400090,BRW,Regionaal,Hoofdofficier (Persoonlijk)
1400091,BRW,Regionaal,Teamleider Team Digitale Verkenning (Persoonlijk)
1400092,BRW,Regionaal,Hoofd Sectie Communicatie (Persoonlijk)
1400093,BRW,Regionaal,Piket Medewerker Sectie Crisiscommunicatie (Persoonlijk)
1400095,BRW,Regionaal,Directeur GHOR / Directiewacht (Persoonlijk)
1400097,BRW,Regionaal,Teamleider Team Digitale Verkenning (Persoonlijk)
1400100,BRW,Regionaal,OvD Waterweg
1400101,BRW,Regionaal,Vrije OvD
1400111,BRW,Hoek van Holland,Ploeg
1400112,BRW,Hoek van Holland,Bevelvoerders
1400118,KNRM,Hoek van Holland,Coordinator Strandwacht
1400119,KNRM,Hoek van Holland,Strandwacht
1400121,BRW,Maassluis,Postalarm
1400122,BRW,Maassluis,Ploeg A
1400123,BRW,Maassluis,Ploeg B
1400124,BRW,Maassluis,Bevelvoerders
1400125,BRW,Maassluis,Verkenningseenheid
1400127,BRW,Maassluis,Oppervlaktewater Redteam
1400128,BRW,Maassluis,Bezetting HW
1400131,BRW,Vlaardingen - Vrijwilligers,Bezetting TS-SK 03
1400132,BRW,Vlaardingen - Vrijwilligers,Bevelvoerder van Dienst
1400133,BRW,Vlaardingen - Vrijwilligers,Chauffeurs
1400134,BRW,Vlaardingen - Vrijwilligers,Specialisten
1400136,BRW,Vlaardingen,Kazernealarm + 24 uursdienst
1400141,BRW,Schiedam,Kazernealarm + 24 uursdienst
1400147,BRW,Schiedam - Vrijwilligers,Ploeg
1400148,BRW,Schiedam - Vrijwilligers,Bevelvoerder van Dienst
1400149,BRW,Schiedam,Verkenningseenheid IBGS
1400153,BRW,Krimpen aan den IJssel,Bezetting VZH
1400154,BRW,Schiedam - Vrijwilligers,Specialisten
1400155,BRW,Schiedam - Vrijwilligers,Chauffeurs
1400160,BRW,Vlaardingen,Decentrale Uitgifte
1400163,BRW,Barendrecht,Decentrale Uitgifte
1400165,BRW,Spijkenisse,Decentrale Uitgifte
1400167,BRW,Doelwater,Evenementenkazerne 01
1400168,BRW,Regionaal,Evenementenkazerne
1400169,BRW,Albert Plesmanweg,Evenementenkazerne
1400170,BRW,Marconiplein,Evenementenkazerne
1400185,BRW,Luchthaven Brandweer Rotterdam The Hague Airport,On Scene Commander
1400186,BRW,Luchthaven Brandweer Rotterdam The Hague Airport,Bezetting TS
1400200,BRW,BRW Rotterdam-Rijnmond,OvD Noord
1400202,BRW,BRW Rotterdam-Rijnmond,Arbeidshygiene
1400205,BRW,Rotterdam-Frobenstraat,Ondersteuners ABH
1400210,BRW,Regionaal Reserve,Bezetting TS 9331
1400216,BRW,MKB Rotterdam,Infocode MKB Den Haag
1400221,BRW,Rotterdam-Frobenstraat,Kazernealarm + 24 uursdienst
1400222,BRW,Rotterdam-Frobenstraat - Vrijwilligers,Ploeg
1400223,BRW,Rotterdam-Frobenstraat - Vrijwilligers,Bevelvoerders
1400225,BRW,Berkel en Rodenrijs,Vrijwilligers Ploeg
1400226,BRW,Berkel en Rodenrijs,Bezetting HA + DPH
1400227,BRW,Berkel en Rodenrijs,Bezetting DPH
1400228,BRW,Rotterdam-Frobenstraat,Verkenningseenheid IBGS
1400231,BRW,Rotterdam-Baan,Kazernealarm + 24 uursdienst
1400232,BRW,BRW Rotterdam-Rijnmond (Rotterdam-Zuid),Tunnel Response Team
1400233,BRW,Rotterdam-Baan,Bevelvoerder van Dienst
1400241,BRW,Berkel en Rodenrijs,Vrijwilligers Totaal
1400244,BRW,Rotterdam-Frobenstraat - Vrijwilligers,Specialisten
1400261,BRW,Bleiswijk,Vrijwilligers alarm
1400262,BRW,Bleiswijk,Oppervlaktewater Redteam
1400265,BRW,BRW Rotterdam-Rijnmond,Coordinator Decentrale Uitgifte) (Persoonlijk)
1400270,BRW,Vlaardingen Vrijwilligers,Bezetting TS-SK 0332
1400271,BRW,Schiedam Vrijwilligers,Bezetting TS-SK 0432
1400272,BRW,Rotterdam-Frobenstraat Vrijwilligers,Bezetting TS-SK 0532
1400273,BRW,Capelle aan den IJssel-Slotlaan Vrijwilligers,Bezetting TS-SK 1132
1400274,BRW,Rotterdam-Keyenburg Vrijwilligers,Bezetting TS-SK 3331
1400275,BRW,Ridderkerk,Bezetting TS-SK 3832
1400276,BRW,Rozenburg,Bezetting TS-SK 1731
1400277,BRW,Zwartewaal,Bezetting TS-SK 2731
1400278,BRW,Spijkenisse Vrijwilligers,Bezetting TS-SK 3132
1400279,BRW,Sommelsdijk-Olympia,Bezetting TS-SK 4532
1400282,BRW,Berkel en Rodenrijs,Bezetting TS-SK 0732
1400283,BRW,Hoogvliet,Bezetting TS-SK 2231
1400285,BRW,BRW Rotterdam-Rijnmond,Regionaal Proefalarm Beroepskazernes
1400286,BRW,BRW Rotterdam-Rijnmond,Regionaal Infobericht/Proefalarm Vrijwilligers
1400287,BRW,BRW Den Haag >,Infocode MKB Rotterdam
1400288,BRW,MKB Zeeland/West-Brabant >,Infocode MKB Rotterdam
1400289,BRW,MKB Zeeland/West Brabant >,PreCom Terugkoppeling MKB Rotterdam
