capcode,discipline,locatie/divisie,beschrijving
1300001,BRW,OCB Zeeland/West Brabant,Monitorcode Zeeland
1300005,BRW,OCB Zeeland/West Brabant,Aansturing Lichtkranten Regio Zeeland
1300010,BRW,BRW Zeeland,Proefalarm
1300018,BRW,Regionaal,Infocode Natuurbrand
1300019,BRW,Regionaal,Vrije instroom AGS
1300020,BRW,Regionaal,Strategisch Adviseur Brandweerzorg
1300022,BRW,Regionaal,HOvD Noord
1300023,BRW,Regionaal,HOvD Zuid
1300025,BRW,Regionaal,Adviseur Gevaarlijke Stoffen (Noord)
1300026,BRW,Regionaal,Adviseur Gevaarlijke Stoffen (Zuid)
1300028,BRW,Regionaal,OvD Noord-Oost
1300029,BRW,Regionaal,OvD Midden-West
1300031,BRW,Regionaal,OvD Midden-Oost
1300032,BRW,Regionaal,OvD Noord-West
1300033,BRW,Regionaal,OvD Zuid-West
1300034,BRW,Regionaal,OvD Zuid-Oost
1300043,MKA,Regionaal,TCO
1300047,BRW,Regionaal,Voorlichting (Piket)
1300049,BRW,Regionaal,Informatiemanager ROT
1300052,BRW,Regionaal,Informatiemanager CoPI Noord
1300053,BRW,Regionaal,Informatiemanager CoPI Zuid
1300058,BRW,Regionaal,OvD Defensie
1300059,BRW,Regionaal,Bestuurlijk Informatie Manager
1300060,BRW,Regionaal,Persalarm
1300061,BRW,Regionaal,Piket Sectie Ondersteuning
1300065,BRW,Regionaal,Communicatie Adviseur CoPI
1300068,BRW,Regionaal,Team Brandonderzoek (Infocode)
1300070,BRW,Regionaal,Team Brandonderzoek (Alarmcode)
130011?,BRW,OC-B Zeeland/West-Brabant,Centralist (Persoonijke code)
130012?,BRW,OC-B Zeeland/West-Brabant,Centralist (Persoonijke code)
1300142,BRW,Regionaal,Event-CoPI Noord
1300158,BRW,Regionaal,OvD Rijkswaterstaat (West)
1300180,BRW,Regionaal,OvD Rijkswaterstaat (Zuidwest)
1300191,BRW,Regionaal,Vrije Instroom Officieren Zeeuws-Vlaanderen West
1300192,BRW,Regionaal,Vrije Instroom Officieren Zeeuws-Vlaanderen Oost
1300194,BRW,Regionaal,Vrije Instroom Officieren Zuid-Beveland
1300195,BRW,Regionaal,Vrije Instroom Officieren Walcheren/Noord-Beveland
1300197,BRW,Regionaal,Vrije Instroom Officieren Tholen
1300198,BRW,Regionaal,Vrije Instroom Officieren Schouwen-Duiveland
1300202,BRW,Borssele,First Responders
1300205,BRW,Baarland,Bezetting TS Dagdienst
1300206,BRW,Baarland,Ploeg (ANW)
1300207,BRW,Baarland,First Responders
1300208,BRW,Baarland,Kazernetechniek
1300210,BRW,Borssele,Bezetting TS Dagdienst
1300211,BRW,Borssele,Ploeg (ANW)
1300212,BRW,Borssele,Bezetting SB Dagdienst
1300213,BRW,Borssele,Bezetting SB ANW
1300214,BRW,Borssele,Bezetting TK-G
1300219,BRW,Borssele,Kazernetechniek
1300220,BRW,'s-Gravenpolder,Bezetting TS Dagdienst
1300221,BRW,'s-Gravenpolder,Bezetting TS ANW
1300222,BRW,'s-Gravenpolder,Kazernetechniek
1300225,BRW,Heinkenszand,Bezetting TS Dagdienst
1300226,BRW,Heinkenszand,Bezetting TS ANW
1300227,BRW,Heinkenszand,Kazernetechniek
1300230,BRW,Nieuwdorp,Bezetting TS Dagdienst
1300231,BRW,Nieuwdorp,Bezetting TS ANW
1300234,BRW,Nieuwdorp,Kazernetechniek
1300235,BRW,Ovezande,Bezetting TS Dagdienst
1300236,BRW,Ovezande,Bezetting TS ANW
1300238,BRW,Ovezande,Kazernetechniek
1300420,BRW,Goes-Oranjeweg,Bezetting TS ANW
1300423,BRW,Goes-Oranjeweg,Bezetting TS Dagdienst
1300425,BRW,Heinkenszand,Bezetting TS-BO
1300427,BRW,Goes-Oranjeweg,Chauffeurs AL Ploeg 1+2
1300431,BRW,Goes-Oranjeweg,Duikploeg
1300432,BRW,Goes-Oranjeweg,Chauffeurs HA Dagdienst
1300434,BRW,Goes-Oranjeweg,Chauffeurs HA Ploeg 1
1300435,BRW,Goes-Oranjeweg,Chauffeurs HA Ploeg 2
1300436,BRW,Goes-Oranjeweg,Chauffeurs AL Ploeg 1
1300437,BRW,Goes-Oranjeweg,Chauffeurs HA Ploeg 3
1300438,BRW,Goes-Oranjeweg,Chauffeurs AL Ploeg 2
1300440,BRW,Goes-Oranjeweg,Kazernetechniek
1300446,BRW,Goes-Goese Poort,Bezetting TS Dagdienst
1300447,BRW,Goes-Goese Poort,Bezetting TS ANW
1300448,BRW,Goes-Goese Poort,Bezetting HA+HVH Dagdienst
1300449,BRW,Goes-Goese Poort,Bezetting HA+HVH ANW
1300451,BRW,Goes-Goese Poort,Kazernetechniek
1300452,BRW,Wolphaartsdijk,Bezetting TS Dagdienst
1300453,BRW,Wolphaartsdijk,Bezetting TS ANW
1300454,BRW,Wolphaartsdijk,Verkenningseenheid IBGS
1300455,BRW,Goes-Oranjeweg,PreCom Color Info Display ANW
1300456,BRW,Goes-Oranjeweg,PreCom Color Info Display Dagdienst
1300459,BRW,Wolphaartsdijk,Kazernetechniek
1300479,BRW,OC-B Zeeland/West-Brabant,Centralist (Persoonlijke Code)
1300565,BRW,Hulst,Bezetting TS ANW Ploeg 1
1300566,BRW,Hulst,Bezetting TS ANW Ploeg 2
1300568,BRW,Hulst,Bezetting TS Vakantieploeg
1300574,BRW,Hulst,Bezetting TS Dagdienst
1300576,BRW,Hulst,Chauffeurs HV
1300579,BRW,Hulst,Chauffeurs HW
1300589,BRW,Hulst,Verkenningseenheid
1300590,BRW,Hulst,Kazernetechniek
1300595,BRW,Kloosterzande,Bezetting TS ANW
1300596,BRW,Kloosterzande,Bezetting TS Dagdienst
1300600,BRW,Kloosterzande,Kazernetechniek
1300610,BRW,Hulpverleningszone Waasland (Belgie),Post Kieldrecht (Lichtkrant)
1300615,BRW,Vogelwaarde,Bezetting TS ANW
1300616,BRW,Vogelwaarde,Bezetting TS Dagdienst
1300617,BRW,Vogelwaarde,Verkenningseenheid
1300620,BRW,Vogelwaarde,Kazernetechniek
1300745,BRW,Kapelle,Bezetting TS Dagdienst
1300746,BRW,Kapelle,Bezetting TS ANW
1300749,BRW,Kapelle,Kazernetechniek
1300750,BRW,Wemeldinge,Bezetting TS Dagdienst
1300751,BRW,Wemeldinge,Bezetting TS ANW
1300755,BRW,Wemeldinge,Kazernetechniek
1300811,BRW,BRW Zeeland,First Responders Walcheren / Noord-Beveland (Monitorcode)
1300815,BRW,Colijnsplaat-Kortgene,Bezetting TS ANW
1300816,BRW,Colijnsplaat-Kortgene,Bezetting TS Dagdienst
1300817,BRW,Colijnsplaat-Kortgene,First Responders Colijnsplaat
1300819,BRW,Colijnsplaat-Kortgene,First Responders Kortgene
1300820,BRW,Kamperland,Bezetting TS Dagdienst
1300821,BRW,Kamperland,First Responders
1300824,BRW,Kamperland,Verkenningseenheid IBGS
1300825,BRW,Kamperland,Bezetting TS ANW
1300827,BRW,Colijnsplaat-Kortgene,Kazernetechniek Colijnsplaat
1300828,BRW,Colijnsplaat-Kortgene,Kazernetechniek
1300829,BRW,Kamperland,Kazernetechniek
1300894,BRW,Krabbendijke,Kazernetechniek
1300895,BRW,Krabbendijke,Bezetting TS Dagdienst
1300896,BRW,Krabbendijke,Bezetting DB-VZA Logistieke ploeg 1
1300898,BRW,Krabbendijke,Bezetting TS ANW
1300899,BRW,Krabbendijke,Bezetting DB-VZA Logistieke ploeg 2
1300900,BRW,Kruiningen,Bezetting TS Dagdienst
1300901,BRW,Kruiningen,Bezetting TS ANW
1300903,BRW,Kruiningen,Bezetting HV ANW Ploeg 1
1300904,BRW,Kruiningen,Bezetting HV Dagdienst
1300905,BRW,Kruiningen,Verkenningseenheid
1300906,BRW,Kruiningen,Bezetting HV ANW Ploeg 2
1300909,BRW,Kruiningen,Kazernetechniek
1300910,BRW,Rilland,Bezetting TS Dagdienst
1300913,BRW,Rilland,Bezetting TS ANW
1300914,BRW,Rilland,Kazernetechniek
1300915,BRW,Yerseke,Bezetting TS Dagdienst
1300918,BRW,Yerseke,Bezetting TS ANW
1300920,BRW,Yerseke,Kazernetechniek
1301037,BRW,Schouwen-Duivenland,Staatsbosbeheer
1301040,BRW,Bruinisse,Bezetting TS Dagdienst
1301041,BRW,Bruinisse,Bezetting TS ANW
1301049,BRW,Bruinisse,Kazernetechniek
1301050,BRW,Oosterland,Verkenningseenheid
1301055,BRW,Brouwershaven,Bezetting TS Dagdienst
1301056,BRW,Brouwershaven,Bezetting TS ANW
1301060,BRW,Brouwershaven,Kazernetechniek
1301065,BRW,Dreischor,Bezetting TS Dagdienst
1301066,BRW,Dreischor,Bezetting TS ANW
1301069,BRW,Dreischor,Kazernetechniek
1301070,BRW,Burg-Haamstede,Bezetting TS Dagdienst
1301071,BRW,Burg-Haamstede,Bezetting TS ANW
1301075,BRW,Burg-Haamstede,Bezetting PAT
1301077,BRW,Burg-Haamstede,Bezetting WT
1301081,BRW,Burg-Haamstede,Kazernetechniek
1301085,BRW,Kerkwerve,Bezetting TS Dagdienst
1301086,BRW,Kerkwerve,Bezetting TS ANW
1301089,BRW,Kerkwerve,Kazernetechniek
1301090,BRW,Oosterland,Bezetting TS Dagdienst
1301091,BRW,Oosterland,Bezetting TS ANW
1301095,BRW,Oosterland,Chauffeurs ANW
1301099,BRW,Oosterland,Kazernetechniek
1301100,BRW,Renesse,Bezetting TS Dagdienst
1301101,BRW,Renesse,Bezetting TS ANW
1301104,BRW,Renesse,Kazernetechniek
1301105,BRW,Scharendijke,Bezetting TS Dagdienst
1301106,BRW,Scharendijke,Bezetting TS ANW
1301109,BRW,Scharendijke,Kazernetechniek
1301110,BRW,Zierikzee,Bezetting TS ANW Ploeg 1
1301111,BRW,Zierikzee,Bezetting TS ANW Ploeg 2
1301112,BRW,Zierikzee,Bezetting TS Dagdienst
1301115,BRW,Zierikzee,Chauffeurs HV
1301120,BRW,Zierikzee,Chauffeurs HW
1301125,BRW,Zierikzee,Kazernetechniek
1301332,BRW,Sluis,Monitorcode First Responders
1301335,BRW,Aardenburg,Bezetting TS ANW
1301336,BRW,Aardenburg,Bezetting TS Dagdienst
1301340,BRW,Aardenburg,Kazernetechniek
1301345,BRW,Breskens,Bezetting TS ANW
1301346,BRW,Breskens,Bezetting TS Dagdienst
1301348,BRW,Breskens,Verkenningseenheid
1301349,BRW,Breskens,Kazernetechniek
1301351,BRW,Cadzand,Kazernetechniek
1301355,BRW,Cadzand,Bezetting TS ANW
