capcode,discipline,locatie/divisie,beschrijving
1735000,KNRM-KWC,KNRM,Landelijk Proefalarm
1735031,KNRM-KWC,KNRM,KNRM-KWC
1735051,KNRM-KWC,Meldkamer Noord Nederland,Lichtkrant
1735052,KNRM-KWC,Meldkamer Noord Nederland,Lichtkrant
1735056,KNRM-KWC,GMK Oost-Nederland,Lichtkrant
1735060,KNRM-KWC,OCB Noord Holland / Noord,Infocode
1735061,KNRM-KWC,OCB Noord Holland / Zuid,Infocode
1735062,KNRM-KWC,OCB Noord Holland / Kennemerland,Infocode
1735064,KNRM-KWC,OCB Gooi en Vechtstreek,Infocode
1735065,KNRM-KWC,OCB Den Haag,Infocode
1735066,KNRM-KWC,OCB Den Haag/Hollands Midden,Infocode
1735067,KNRM-KWC,OCB Rotterdam,Infocode
1735068,KNRM-KWC,OCB Zuid-Holland Zuid,Infocode
1735069,KNRM-KWC,OC-B Zeeland-West Brabant,Infocode
1735075,KNRM-KWC,GMK Flevoland,Lichtkrant
1735098,KNRM-KWC,KWC Den Helder Joint Rescue Coordination Centre (JRCC),Lichtkrant
1735099,KNRM-KWC,KWC Den Helder,Infocode Wachtsman KNRM
1735102,KNRM-KWC,KNRM Reddingstation Cadzand,Schippers
1735108,KNRM-KWC,KNRM Reddingstation Cadzand,Bemanning Reddingboot Winifred Lucy Verkade-Clark
1735110,KNRM-KWC,KNRM Reddingstation Cadzand,Walploeg
1735112,KNRM-KWC,KNRM Reddingstation Breskens,Schippers
1735118,KNRM-KWC,KNRM Reddingstation Breskens,Bemanning Reddingboot Zeemanshoop
1735122,KNRM-KWC,KNRM Reddingstation Westkapelle,Schippers
1735128,KNRM-KWC,KNRM Reddingstation Westkapelle,Bemanning Reddingboot Uly
1735130,KNRM-KWC,KNRM Reddingstation Westkapelle,Walploeg
1735132,KNRM-KWC,KNRM Reddingstation Veere,Schippers
1735133,KNRM-KWC,KNRM Reddingstation Veere,Bemanning Reddingboot Oranje
1735142,KNRM-KWC,KNRM Neeltje Jans,Schippers
1735148,KNRM-KWC,KNRM Reddingstation Neeltje Jans-Buiten,Bemanning Reddingboot Koopmansdank
1735149,KNRM-KWC,KNRM Reddingstation Neeltje Jans-Binnen,Bemanning Reddingboot Fred
1735152,KNRM-KWC,KNRM Reddingstation Ouddorp,Schipper
1735158,KNRM-KWC,KNRM Reddingstation Ouddorp Buiten,Bemanning Reddingboot Baron van Lynden
1735159,KNRM-KWC,KNRM Reddingstation Ouddorp Binnen,Bemanning Reddingboot Griend
1735160,KNRM-KWC,KNRM Reddingstation Ouddorp,Walploeg
1735162,KNRM-KWC,KNRM Stellendam,Schippers
1735168,KNRM-KWC,KNRM Reddingstation Stellendam-Buiten,Bemanning Reddingboot Antoinette
1735169,KNRM-KWC,KNRM Reddingstation Stellendam-Binnen,Bemanning Reddingboot Neeltje Struijs
1735171,KNRM-KWC,KNRM Reddingstation Hoek van Holland,SAR liaison
1735172,KNRM-KWC,KNRM Reddingstation Hoek van Holland,Schipper Reddingboot Jeanine Parqui
1735178,KNRM-KWC,KNRM Reddingstation Hoek van Holland,Bemanning Reddingboot Jeanine Parqui
1735182,KNRM-KWC,KNRM Reddingstation Ter Heijde,Schipper
1735188,KNRM-KWC,KNRM Reddingstation Ter Heijde,Bemanning Reddingboot George Dijkstra
1735190,KNRM-KWC,KNRM Reddingstation Ter Heijde,Walploeg
1735192,KNRM-KWC,KNRM Scheveningen,Schippers Kitty Roosmale Nepveu
1735198,KNRM-KWC,KNRM Reddingstation Scheveningen,Bemanning Reddingboot Kitty Roosmale Nepveu
1735200,KNRM-KWC,KNRM Reddingstation Scheveningen,Walploeg
1735201,KNRM-KWC,KNRM Reddingstation Katwijk,SAR liaison
1735202,KNRM-KWC,KNRM Reddingstation Katwijk,Schippers
1735208,KNRM-KWC,KNRM Reddingstation Katwijk,Bemanning Reddingboot Edith Grondel
1735210,KNRM-KWC,KNRM Reddingstation Katwijk,Walploeg
1735212,KNRM-KWC,KNRM Noordwijk aan Zee,Schippers
1735218,KNRM-KWC,KNRM Reddingstation Noordwijk aan Zee,Bemanning Reddingboot Paul Johannes
1735220,KNRM-KWC,KNRM Reddingstation Noordwijk aan Zee,Walploeg
1735222,KNRM-KWC,KNRM Reddingstation Zandvoort,Schippers
1735228,KNRM-KWC,KNRM Reddingstation Zandvoort,Bemanning Reddingboot Annie Poulisse
1735230,KNRM-KWC,KNRM Reddingstation Zandvoort,Walploeg
1735232,KNRM-KWC,KNRM Reddingstation IJmuiden,Schipper NH1816
1735238,KNRM-KWC,KNRM Reddingstation IJmuiden,Bemanning Reddingboot Nh1816
1735242,KNRM-KWC,KNRM Reddingstation Wijk aan Zee,Schipper
1735248,KNRM-KWC,KNRM Reddingstation Wijk aan Zee,Bemanning Reddingboot Donateur
1735250,KNRM-KWC,KNRM Reddingstation Wijk aan Zee,Walploeg
1735252,KNRM-KWC,KNRM Reddingstation Egmond aan Zee,Schippers
1735258,KNRM-KWC,KNRM Reddingstation Egmond aan Zee,Bemanning Reddingboot Irene & Henk
1735260,KNRM-KWC,KNRM Reddingstation Egmond aan Zee,Walploeg
1735262,KNRM-KWC,KNRM Reddingstation Petten,Schippers
1735268,KNRM-KWC,KNRM Reddingstation Petten,Bemanning Reddingboot Dolfijn
1735270,KNRM-KWC,KNRM Reddingstation Petten,Walploeg
