capcode,discipline,locatie/divisie,beschrijving
0603100,BRW,Hengelo-Centrum,Kazernealarm Noodprocedure
0603102,BRW,Hengelo-Centrum,Logistiek Piket
0603190,BRW,Hengelo-Centrum,Kazernealarm
0603200,BRW,Hengelo Noord,Postalarm
0603220,BRW,Hengelo-Noord,Bezetting GW
0603240,BRW,Hengelo-Noord,Bezetting TS
0603290,BRW,Borne,Bezetting TS
0603293,BRW,Borne,Bezetting SB
0603300,BRW,Oldenzaal,Postalarm
0603311,BRW,Oldenzaal,Bevelvoerder van Dienst Ploeg 1
0603312,BRW,Oldenzaal,Bevelvoerder van Dienst Ploeg 2
0603320,BRW,Oldenzaal,Bezetting HW
0603321,BRW,Oldenzaal,Chauffeurs Ploeg 1
0603322,BRW,Oldenzaal,Chauffeurs Ploeg 2
0603340,BRW,Oldenzaal,Bezetting TS
0603341,BRW,Oldenzaal,Bezetting TS Ploeg 1
0603342,BRW,Oldenzaal,Bezetting TS Ploeg 2
0603357,BRW,Losser,Bezetting WT
0603390,BRW,Losser,Bezetting TS
0603400,BRW,Denekamp,Postalarm
0603407,BRW,Denekamp,Bezetting NBT
0603440,BRW,Denekamp,Bezetting TS
0603457,BRW,Tubbergen,Bezetting NBT
0603480,BRW,Tubbergen,Veetakelploeg
0603485,BRW,Tubbergen,Bezetting WT
0603490,BRW,Tubbergen,Bezetting TS
0603506,BRW,De Lutte,Bezetting NBT
0603540,BRW,De Lutte,Bezetting TS
0603580,BRW,Ootmarsum,Bezetting NBT
0603590,BRW,Ootmarsum,Bezetting TS
0603601,BRW,Weerselo,Verkenningseenheid
0603611,BRW,Weerselo,Bezetting SB
0603640,BRW,Weerselo,Bezetting TS
0603650,BRW,Almelo,Kazernealarm Noodprocedure
0603651,BRW,Almelo,Duikploeg
0603690,BRW,Almelo,Kazernealarm
0603741,BRW,Haaksbergen,Bezetting NBT
0603861,BRW,Den Ham,Veetakelploeg
0603862,BRW,Den Ham,Handcrew Overijssel
0603885,BRW,Den Ham,Bezetting KW
0603890,BRW,Den Ham,Bezetting TS
0603900,BRW,Vroomshoop,Postalarm Noodprocedure
0603940,BRW,Vroomshoop,Bezetting TS
0603941,BRW,Vroomshoop,Bezetting WT
0603950,BRW,Vriezenveen,Postalarm Noodprocedure
0603952,BRW,Vriezenveen,Verkenningseenheid
0603973,BRW,Vriezenveen,Bezetting KW
0603985,BRW,Vriezenveen,Bezetting GW
0603986,BRW,Vriezenveen,Bezetting KW
0603990,BRW,Vriezenveen,Bezetting TS
0604002,BRW,Regionaal,Infocode Middel incident
0604003,BRW,Regionaal,Infocode Groot incident
0604004,BRW,Regionaal,Infocode Zeer Groot icident
0604005,BRW,Regionaal,Infocode Grip
0604100,BRW,Enschede Hoofdpost,Kazernealarm Noodprocedure
0604141,BRW,Enschede Hoofdpost,Kazernealarm
0604200,BRW,Enschede Noord,Kazernealarm Noodprocedure
0604241,BRW,Enschede Noord,Kazernealarm
0604251,BRW,Glanerbrug,Postalarm Noodprocedure
0604270,BRW,Boekelo,Bezetting NBT
0604271,BRW,Boekelo,Bezetting TS
0604280,BRW,Glanerbrug,Bezetting TS
0604288,BRW,Glanerbrug,Bezetting Dronebox
0604299,BRW,Glanerbrug,Piloot Drone
0604301,BRW,Rijssen,Verkenningseenheid IBGS
0604302,BRW,Rijssen,Bevelvoerder van Dienst
0604307,BRW,Rijssen,Bezetting NBT Ploeg 1
0604308,BRW,Rijssen,Bezetting NBT Ploeg 2
0604309,BRW,Rijssen,Bezetting NBT Ploeg 3
0604311,BRW,Rijssen,Bezetting HW Ploeg 1
0604312,BRW,Rijssen,Bezetting HW Ploeg 2
0604316,BRW,Rijssen,Bezetting HA
0604340,BRW,Rijssen,Bezetting TS 1+2
0604342,BRW,Rijssen,Bezetting TS 1
0604343,BRW,Rijssen,Bezetting TS 2
0604350,BRW,Holten,Postalarm
0604357,BRW,Holten,Bezetting TST-NB 5241
0604360,BRW,Holten,Veetakelploeg
0604380,BRW,Holten,Bezetting WT
0604390,BRW,Holten,Bezetting TS
0604407,BRW,Hellendoorn,Bezetting NBT
0604435,BRW,Hellendoorn,Bezetting KW
0604440,BRW,Hellendoorn,Bezetting TS
0604450,BRW,Nijverdal,Postalarm
0604457,BRW,Nijverdal,Bezetting TST-NB 5441
0604461,BRW,Nijverdal,Bezetting SB Ploeg 1
0604462,BRW,Nijverdal,Bezetting SB Ploeg 2
0604490,BRW,Nijverdal,Bezetting TS
0604491,BRW,Nijverdal,Ploeg 1
0604492,BRW,Nijverdal,Ploeg 2
0604500,BRW,Wierden,Postalarm
0604540,BRW,Wierden,Bezetting TS
0604541,BRW,Wierden,Bezetting NBT/WTT
0604585,BRW,Enter,Bezetting KW
0604590,BRW,Enter,Bezetting TS
0604601,BRW,Goor,Verkenningseenheid
0604616,BRW,Goor,Bezetting WT
0604640,BRW,Goor,Bezetting TS
0604700,BRW,Haaksbergen,Postalarm
0604701,BRW,Haaksbergen,Verkenningseenheid IBGS
0604740,BRW,Haaksbergen,Bezetting TS
0604741,BRW,Haaksbergen,Piketploeg
0604743,BRW,Haaksbergen,Bezetting SB
0604757,BRW,Delden,Bezetting NBT
0604790,BRW,Delden,Bezetting TS
