capcode,discipline,locatie/divisie,beschrijving
0706000,BRW,OCB,Infocode/Proefalarm
0706001,BRW,OCB,Monitorcode
0706002,BRW,Abcoude,Postcommandant
0706003,BRW,Abcoude,Bevelvoerder van Dienst
0706004,BRW,Abcoude,Postalarm
0706005,BRW,Rijn & Venen,OvD (Rijn & Venen Noord)
0706006,BRW,Abcoude,Noodalarmering
0706007,BRW,Abcoude,AED Alarm
0706009,BRW,Abcoude,Oppervlaktewater Redteam
0706051,BRW,Amerongen,Postcommandant
0706052,BRW,Amerongen,Ploeg 1
0706053,BRW,Amerongen,Ploeg 2
0706055,BRW,Amerongen,Bevelvoerder van Dienst
0706056,BRW,Amerongen,COT
0706057,BRW,Amerongen,Postalarm
0706118,BRW,Eemland,OvD (Eemland-Zuid)
0706119,BRW,Amersfoort-Centrum,Kazernealarm TS
0706120,BRW,Amersfoort-Centrum,Kazernealarm AL
0706121,BRW,Amersfoort-Centrum,Kazernealarm WO
0706123,BRW,Amersfoort-Centrum,Dagdienst
0706124,BRW,Amersfoort-Noord,Bezetting TS Dagdienst
0706126,BRW,Amersfoort-Noord,Bevelvoerder van Dienst
0706131,BRW,Amersfoort-Noord,Ploeg 1
0706132,BRW,Amersfoort-Noord,Ploeg 2
0706133,BRW,Amersfoort-Noord,Ploeg 3
0706134,BRW,Amersfoort-Noord,Ploeg 4
0706138,BRW,Amersfoort-Centrum,Noodalarmering
0706139,BRW,Amersfoort-Noord,Noodalarmering
0706140,BRW,Amersfoort-Centrum,Bevelvoerder van Dienst 24-uursdienst
0706141,BRW,Amersfoort-Centrum,Bevelvoerder van Dienst
0706145,BRW,Amersfoort-Centrum,Chauffeurs Quick Response Team
0706146,BRW,Amersfoort-Centrum,Chauffeurs CO-MU
0706147,BRW,Amersfoort-Centrum,Postalarm
0706148,BRW,Eemland,"Piket Uitrusting, Materieel en Logistiek"
0706231,BRW,Baarn,AED Alarm
0706240,BRW,Baarn,Postalarm
0706245,BRW,Baarn,Piketploeg Dagdienst
0706246,BRW,Baarn,Bezetting TS
0706247,BRW,Baarn,Bezetting Patientenvervoer
0706248,BRW,Baarn,Bezetting HV
0706249,BRW,Baarn,Bevelvoerder van Dienst
0706251,BRW,Baarn,Noodalarmering
0706317,BRW,Nieuwer Ter Aa,AED Alarm
0706318,BRW,Kockengen,AED Alarm
0706319,BRW,Breukelen,AED Alarm
0706320,BRW,Breukelen,Postcommandant
0706321,BRW,Breukelen,Postalarm
0706322,BRW,Breukelen,Piketploeg 2
0706323,BRW,Breukelen,Piketploeg 1
0706325,BRW,Breukelen,Brugwachter
0706327,BRW,Breukelen,Externe Diensten
0706329,BRW,Nieuwer Ter Aa,Postcommandant
0706330,BRW,Nieuwer Ter Aa,Postalarm
0706331,BRW,Kockengen,Postalarm
0706333,BRW,Kockengen,Bevelvoerder van Dienst
0706334,BRW,Breukelen,Noodalarmering
0706335,BRW,Nieuwer Ter Aa,Noodalarmering
0706336,BRW,Kockengen,Noodalarmering
0706337,BRW,Breukelen,Dagondersteuning
0706338,BRW,Kockengen,Rietdak Brandbestrijdingsteam
0706339,BRW,Breukelen,COT
0706435,BRW,Binnensticht-Zeist-Bunnik,OvD-B
0706436,BRW,Bunnik,AED Alarm
0706437,BRW,Werhoven,AED Alarm
0706440,BRW,Bunnik,Postalarm
0706441,BRW,Werkhoven,Postalarm
0706445,BRW,Bunnik,Noodalarmering
0706446,BRW,Werkhoven,Noodalarmering
0706447,BRW,Werkhoven,Rietdak Brandbestrijdingsteam
0706448,BRW,Bunnik,Bevelvoerder van Dienst
0706501,BRW,Bunschoten,AED Alarm
0706504,BRW,Bunschoten,Bezetting BRV
0706505,BRW,Bunschoten,COT
0706507,BRW,Bunschoten,Bevelvoerder van Dienst
0706508,BRW,Bunschoten,Duikploeg
0706509,BRW,Bunschoten,Bezetting TS Ploeg 1
