capcode,discipline,locatie/divisie,beschrijving
0803000,BRW,Regionaal,Proefalarm
0803001,BRW,Aalten,Bezetting Coordinatiepunt Decentrale Uitgifte
0803002,BRW,Winterswijk,Bezetting Coordinatiepunt Decentrale Uitgifte
0803003,BRW,Oost Gelre,Bezetting Coordinatiepunt Decentrale Uitgifte
0803004,BRW,Berkelland,Bezetting Coordinatiepunt Decentrale Uitgifte
0803005,BRW,Oude IJsselstreek,Bezetting Coordinatiepunt Decentrale Uitgifte
0803006,BRW,Montferland,Bezetting Coordinatiepunt Decentrale Uitgifte
0803007,BRW,Doetinchem,Bezetting Coordinatiepunt Decentrale Uitgifte
0803008,BRW,Bronckhorst,Bezetting Coordinatiepunt Decentrale Uitgifte
0803009,BRW,Lochem,Bezetting Coordinatiepunt Decentrale Uitgifte
0803010,BRW,Zutphen,Bezetting Coordinatiepunt Decentrale Uitgifte
0803011,BRW,Brummen,Bezetting Coordinatiepunt Decentrale Uitgifte
0803012,BRW,Voorst,Bezetting Coordinatiepunt Decentrale Uitgifte
0803013,BRW,Epe,Bezetting Coordinatiepunt Decentrale Uitgifte
0803014,BRW,Apeldoorn Centrum,Bezetting Coordinatiepunt Decentrale Uitgifte
0803015,BRW,Ermelo,Bezetting Coordinatiepunt Decentrale Uitgifte
0803016,BRW,Harderwijk,Bezetting Coordinatiepunt Decentrale Uitgifte
0803017,BRW,Oldebroek,Bezetting Coordinatiepunt Decentrale Uitgifte
0803018,BRW,Hattem,Bezetting Coordinatiepunt Decentrale Uitgifte
0803019,BRW,Heerde,Bezetting Coordinatiepunt Decentrale Uitgifte
0803020,BRW,Putten,Bezetting Coordinatiepunt Decentrale Uitgifte
0803021,BRW,Nunspeet,Bezetting Coordinatiepunt Decentrale Uitgifte
0803022,BRW,Elburg,Bezetting Coordinatiepunt Decentrale Uitgifte
0803041,BRW,Aalten,Postcoordinator
0803042,BRW,Aalten,Postalarm
0803043,BRW,Aalten,Bevelvoeder van Dienst
0803045,BRW,Aalten,Kazernecode
0803046,BRW,Aalten,Bezetting TS Ploeg 1
0803047,BRW,Aalten,Bezetting TS Ploeg 2
0803048,BRW,Aalten,Bezetting TS Ploeg 3
0803055,BRW,Aalten,Bezetting WT Ploeg 1
0803056,BRW,Aalten,Bezetting WT Ploeg 2
0803057,BRW,Aalten,Bezetting WT Ploeg 3
0803063,BRW,Aalten,First Responders
0803068,BRW,Aalten,Verkenningseenheid
0803070,BRW,Aalten,Lichtkrant
