capcode,discipline,locatie/divisie,beschrijving
0610000,BRW,Regionaal,Proefalarm
0610001,BRW,Dalfsen,Bezetting Coordinatiepunt Decentrale Uitgifte
0610002,BRW,Deventer,Bezetting Coordinatiepunt Decentrale Uitgifte
0610003,BRW,Hardenberg,Bezetting Coordinatiepunt Decentrale Uitgifte
0610004,BRW,Kampen,Bezetting Coordinatiepunt Decentrale Uitgifte
0610005,BRW,Olst-Wijhe,Bezetting Coordinatiepunt Decentrale Uitgifte
0610006,BRW,Ommen,Bezetting Coordinatiepunt Decentrale Uitgifte
0610007,BRW,Raalte,Bezetting Coordinatiepunt Decentrale Uitgifte
0610008,BRW,Staphorst,Bezetting Coordinatiepunt Decentrale Uitgifte
0610009,BRW,Steenwijkerland,Bezetting Coordinatiepunt Decentrale Uitgifte
0610010,BRW,Zwartewaterland,Bezetting Coordinatiepunt Decentrale Uitgifte
0610011,BRW,Zwolle,Bezetting Coordinatiepunt Decentrale Uitgifte
0610022,BRW,Dalfsen,Postalarm
0610023,BRW,Dalfsen,Bevelvoerder
0610025,BRW,Dalfsen,Kazernecode
0610026,BRW,Dalfsen,Bezetting TS
0610035,BRW,Dalfsen,Chauffeurs
0610050,BRW,Dalfsen,Lichtkrant
0610054,BRW,Dalfsen,Decentrale Uitgifte post
0610055,BRW,Dalfsen,Decentrale Uitgifte
0610062,BRW,Nieuwleusen,Postalarm
0610063,BRW,Nieuwleusen,Bevelvoerder
0610065,BRW,Nieuwleusen,Kazernecode
0610066,BRW,Nieuwleusen,Bezetting TS
0610075,BRW,Nieuwleusen,Bezetting HV
0610089,BRW,Nieuwleusen,Bezetting KW
0610090,BRW,Nieuwleusen,Lichtkrant
0610102,BRW,Lemelerveld,Noodalarmeringscode
0610103,BRW,Lemelerveld,Bevelvoerder
0610105,BRW,Lemelerveld,Kazernecode
0610106,BRW,Lemelerveld,Bezetting TS
0610130,BRW,Lemelerveld,Lichtkrant
0610142,BRW,Deventer,Kazernealarm noodprocedure
0610143,BRW,Deventer,Beroeps - Bevelvoerder
0610145,BRW,Deventer,Kazernecode
0610146,BRW,Deventer,Beroeps Bezetting 1e TS
0610147,BRW,Deventer,Vrijwilligers Bezetting 2e TS
0610155,BRW,Deventer,Beroeps Chauffeurs
0610156,BRW,Deventer,Vrije Beroeps
0610157,BRW,Deventer,Ademluchtwerkplaats
0610165,BRW,Deventer,Herbezetting
0610169,BRW,Deventer,Vrijwilligers Bezetting GW
0610170,BRW,Deventer,Lichtkrant
0610174,BRW,Deventer,Decentrale Uitgifte post
0610175,BRW,Deventer,Decentrale Uitgifte
0610181,BRW,Bathmen,Postcoordinator
0610182,BRW,Bathmen,Postalarm
0610183,BRW,Bathmen,Bevelvoerder
0610185,BRW,Bathmen,Kazernecode
0610186,BRW,Bathmen,Bezetting TS
0610210,BRW,Bathmen,Lichtkrant
0610221,BRW,Diepenveen,Postcoordinator
0610222,BRW,Diepenveen,Postalarm
0610223,BRW,Diepenveen,Bevelvoerder
0610225,BRW,Diepenveen,Kazernecode
0610226,BRW,Diepenveen,Bezetting TS
0610250,BRW,Diepenveen,Lichtkrant
0610263,BRW,Deventer,Vrijwilligers Bevelvoerder
0610301,BRW,Hardenberg,Postcoordinator
0610302,BRW,Hardenberg,Postalarm
0610303,BRW,Hardenberg,Bevelvoerder
0610305,BRW,Hardenberg,Kazernecode
0610306,BRW,Hardenberg,Bezetting TS Ploeg 1
0610307,BRW,Hardenberg,Bezetting TS Ploeg 2
0610308,BRW,Hardenberg,Bezetting TS Ploeg 3
0610315,BRW,Hardenberg,Bezetting HW
0610316,BRW,Hardenberg,Logistiek cluster Vechtdal
0610330,BRW,Hardenberg,Lichtkrant
0610334,BRW,Hardenberg,Decentrale Uitgifte post
0610335,BRW,Hardenberg,Decentrale Uitgifte
0610342,BRW,Dedemsvaart,Postalarm
0610343,BRW,Dedemsvaart,Bevelvoerder
0610345,BRW,Dedemsvaart,Kazernecode
0610346,BRW,Dedemsvaart,Bezetting TS Ploeg 1
0610347,BRW,Dedemsvaart,Bezetting TS Ploeg 2
0610352,BRW,Dedemsvaart,Bezetting TS Ploeg 1 + 2
0610355,BRW,Dedemsvaart,Chauffeurs
0610368,BRW,Dedemsvaart,Verkenningseenheid
