capcode,discipline,locatie/divisie,beschrijving
0200000,BRW,BRW Noord Holland Noord,Proefalarm / Infocode
0200098,KNRM,MKB Noord-Holland Noord,Monitorcode Reddingsbrigade
0200099,KNRM,MKB Noord-Holland Noord,Monitorcode KNRM
0200103,BRW,Alkmaar,Dynamische afsluiting
0200120,BRW,?,Code schakeling/activering
0200125,BRW,Alkmaar Centrum,Kazernetechniek
0200132,BRW,Hoorn,Dynamische afsluiting
0200134,BRW,dynamische afsluiting,Dynamische afsluiting
0200137,BRW,dynamische afsluiting,Dynamische afsluiting
0200138,BRW,dynamische afsluiting,Dynamische afsluiting
0200139,BRW,Zwaag,Dynamische afsluiting
0200146,BRW,Schagen,Kazernetechniek
0200147,BRW,Warmenhuizen,Dynamische afsluiting
0200150,BRW,Langedijk,Dynamische afsluiting
0200153,BRW,Den Helder,Dynamische afsluiting
0200155,BRW,Castricum,Dynamische afsluiting
0200160,BRW,Heerhugowaard,Dynamische afsluiting
0200163,BRW,Enkhuizen,Dynamische afsluiting Kruitmolen
0200164,BRW,Enkhuizen,Dynamische afsluiting Westerstraat/Melkmarkt
0200165,BRW,Enkhuizen,Dynamische afsluiting Westerstraat/Nieuwstraat
0200166,BRW,Enkhuizen,Dynamische afsluiting Zuiderkerkplein/Torenstraat
0200171,BRW,Alkmaar,Dynamische afsluiting Binnenstad
0200172,BRW,Alkmaar,Dynamische afsluiting Frieseweg
0200176,BRW,Hoorn,Dynamische afsluiting
0200177,BRW,Winkel,Dynamische afsluiting
0200178,BRW,Zuid-Scharwoude,Dynamische afsluiting
0200181,BRW,Schagen,Dynamische afsluiting
0200185,BRW,Castricum,Dynamische afsluiting
0200187,BRW,Enkhuizen,Dynamische afsluiting Binnenstad
0200203,BRW,Wognum,Dynamische afsluiting
0200204,BRW,Blokker,Dynamische afsluiting
0200258,KNRM,Egmond aan Zee,Reddingboot Adriaan Hendrik
0200260,KNRM,Egmond aan Zee,Walploeg
0200268,KNRM,Petten,Reddingboot Dolfijn
0200270,KNRM,Petten,Kusthulpverleningsvoertuig
0200278,KNRM,Callantsoog,Reddingboot Koen Oberman
0200280,KNRM,Callantsoog,Walploeg
0200288,KNRM,Den Helder,Reddingboot Joke Dijkstra
0200298,KNRM,De Koog (Texel),Walploeg A
0200299,KNRM,Texel Oudeschild (Texel),Reddingboot Cornelis Dito
0200300,KNRM,De Koog (Texel),Walploeg B
0200308,KNRM,De Cocksdorp (Texel),Reddingboot Beursplein 5
0200448,KNRM,Reddingstation Wijdenes,Reddingboten De Arend en De Gooier
0200458,KNRM,Medemblik,Reddingsboot Bernadine
0200468,KNRM,Andijk,Reddingboot t'Span
0200478,KNRM,Enkhuizen,Reddingboten Watersport KNWV en Corrie Dijkstra-Van Elk
0200488,KNRM,Den Oever,Reddingboot Op Dreef
0200498,KNRM,Reddingsbrigade Hoorn,Reddingboot Hayo
0201131,KNRM,Andijk,Lichtkrant Boothuis reddingsboot 't Span
0201241,RB,Reddingsbrigade Schoorl,Strandploeg
0201244,RB,Reddingsbrigade Egmond aan Zee,Strandploeg
0201247,RB,Reddingsbrigade Bergen,Strandploeg
0201251,RB,Reddingsbrigade Schoorl,Alarmploeg
0201252,RB,Reddingsbrigade Schoorl,Lichtkrant
0201254,RB,Reddingsbrigade Egmond aan Zee,Alarmploeg
0201255,RB,Reddingsbrigade Egmond aan Zee,Lichtkrant
0201258,RB,Reddingsbrigade Bergen,Monitor
0201347,RB,Reddingsbrigade Castricum,Strandploeg
0201357,RB,Reddingsbrigade Castricum,Alarmploeg
0201358,RB,Reddingsbrigade Castricum,Lichtkrant
0201447,RB,Reddingsbrigade Den Helder,Strandploeg
0201457,RB,Reddingsbrigade Den Helder,Alarmploeg
0201458,RB,Reddingsbrigade Den Helder,Monitor
0202841,RB,Reddingsbrigade Sint Maartenszee,Strandploeg
0202842,RB,Reddingsbrigade Petten,Strandploeg
0202843,RB,Reddingsbrigade Callantsoog,Strandploeg
0202852,RB,Reddingsbrigade Petten,Alarmploeg
0202853,RB,Reddingsbrigade Callantsoog,Alarmploeg
0202881,RB,Reddingsbrigade Sint Maartenszee,Monitor
0202882,RB,Reddingsbrigade Petten,Monitor
0202883,RB,Reddingsbrigade Callantsoog,Monitor
0202997,BRW,OCB Noord-Holland Noord,GMS koppelingscode
0202999,BRW,OCB Noord-Holland Noord,Monitorcode
0203700,BRW,Alkmaar,Burgemeester
0203703,BRW,Alkmaar,Ambtenaar openbare orde en veiligheid
0203730,BRW,Bergen,Burgemeester
0203733,BRW,Bergen,Ambtenaar openbare orde en veiligheid
0203740,BRW,Castricum,Burgemeester
0203750,BRW,Den Helder,Burgemeester
0203753,BRW,Den Helder,Ambtenaar openbare orde en veiligheid
0203760,BRW,Drechterland,Burgemeester
0203763,BRW,Drechterland,Ambtenaar openbare orde en veiligheid
0203770,BRW,Enkhuizen,Burgemeester
0203773,BRW,Enkhuizen,Ambtenaar openbare orde en veiligheid
0203800,BRW,Hoorn,Burgemeester
0203803,BRW,Hoorn,Ambtenaar openbare orde en veiligheid
0203810,BRW,gemeente Dijk en Waard,Burgemeester
0203813,BRW,gemeente Dijk en Waard,Ambtenaar openbare orde en veiligheid
0203820,BRW,Heiloo,Burgemeester
0203840,BRW,Medemblik,Burgemeester
0203843,BRW,Medemblik,Ambtenaar openbare orde en veiligheid
0203880,BRW,Opmeer,Burgemeester
0203890,BRW,Schagen,Burgemeester
0203893,BRW,Schagen,Ambtenaar openbare orde en veiligheid
0203910,BRW,Bovenkarspel,Burgemeester
0203913,BRW,Bovenkarspel,Ambtenaar Openbare Veiligheid
0203920,BRW,Texel,Burgemeester
0203940,BRW,Koggenland,Burgemeester
0203943,BRW,Koggenland,Ambtenaar openbare orde en veiligheid
0203950,BRW,Hollands Kroon,Burgemeester
0203953,BRW,Hollands Kroon,Ambtenaar openbare orde en veiligheid
0204001,BRW,Alkmaar Centrum,Kazernecoordinator
0204002,BRW,Koedijk,Kazernecoordinator
0204003,BRW,Graft-de-Rijp,Kazernecoordinator
0204005,BRW,Stompetoren,Kazernecoordinator
0204006,BRW,Castricum,Kazernecoordinator
0204007,BRW,Akersloot,Kazernecoordinator
0204008,BRW,Limmen,Kazernecoordinator
0204010,BRW,Bergen,Kazernecoordinator
0204011,BRW,Schoorl,Kazernecoordinator
0204012,BRW,Groet,Kazernecoordinator
0204013,BRW,Egmond aan Zee,Kazernecoordinator
0204014,BRW,Heiloo,Kazernecoordinator
0204041,BRW,Alkmaar,Coordinator Verzorgingsploeg
0204101,BRW,Alkmaar-Centrum,Bezetting TS Beroeps
0204102,BRW,Koedijk,Bezetting TS
0204103,BRW,De Rijp,Bezetting TS
0204105,BRW,Stompetoren,Bezetting TS
0204106,BRW,Castricum,Bezetting TS
